grade,time,drug,year,attitude,estimate,LBYear1,LBYear2
10th Grade,Occasionally,Adderall,2021,Risk,38.050336589,2019,
10th Grade,Occasionally,Adderall,2022,Risk,37.622477704,2019,
12th Grade,Occasionally,Adderall,2010,Risk,41.630962022,2019,
12th Grade,Occasionally,Adderall,2011,Risk,40.793280364,2019,
12th Grade,Occasionally,Adderall,2012,Risk,35.258888782,2019,
12th Grade,Occasionally,Adderall,2013,Risk,38.794015843,2019,
12th Grade,Occasionally,Adderall,2014,Risk,41.482784036,2019,
12th Grade,Occasionally,Adderall,2015,Risk,41.639496708,2019,
12th Grade,Occasionally,Adderall,2016,Risk,40.858281544,2019,
12th Grade,Occasionally,Adderall,2017,Risk,40.592279073,2019,
12th Grade,Occasionally,Adderall,2018,Risk,40.075323313,2019,
12th Grade,Occasionally,Adderall,2019,Risk,41.757082648,2019,
12th Grade,Occasionally,Adderall,2021,Risk,41.726076275,2019,
12th Grade,Occasionally,Adderall,2022,Risk,39.595085991,2019,
8th Grade,Once or Twice,Alcohol,1991,Risk,10.970266035,2019,
8th Grade,Once or Twice,Alcohol,1992,Risk,12.057287125,2019,
8th Grade,Once or Twice,Alcohol,1993,Risk,12.354072273,2019,
8th Grade,Once or Twice,Alcohol,1994,Risk,11.581044788,2019,
8th Grade,Once or Twice,Alcohol,1995,Risk,11.595030201,2019,
8th Grade,Once or Twice,Alcohol,1996,Risk,11.778801366,2019,
8th Grade,Once or Twice,Alcohol,1997,Risk,10.412068607,2019,
8th Grade,Once or Twice,Alcohol,1998,Risk,12.066487754,2019,
8th Grade,Once or Twice,Alcohol,1999,Risk,11.610646654,2019,
8th Grade,Once or Twice,Alcohol,2000,Risk,11.860960492,2019,
8th Grade,Once or Twice,Alcohol,2001,Risk,12.205048359,2019,
8th Grade,Once or Twice,Alcohol,2002,Risk,12.456600904,2019,
8th Grade,Once or Twice,Alcohol,2003,Risk,12.642152729,2019,
8th Grade,Once or Twice,Alcohol,2004,Risk,13.728163945,2019,
8th Grade,Once or Twice,Alcohol,2005,Risk,13.855040194,2019,
8th Grade,Once or Twice,Alcohol,2006,Risk,14.180009814,2019,
8th Grade,Once or Twice,Alcohol,2007,Risk,14.877210771,2019,
8th Grade,Once or Twice,Alcohol,2008,Risk,13.546563288,2019,
8th Grade,Once or Twice,Alcohol,2009,Risk,14.432676754,2019,
8th Grade,Once or Twice,Alcohol,2010,Risk,14.915266051,2019,
8th Grade,Once or Twice,Alcohol,2011,Risk,14.547948307,2019,
8th Grade,Once or Twice,Alcohol,2012,Risk,13.883792374,2019,
8th Grade,Once or Twice,Alcohol,2013,Risk,13.749856893,2019,
8th Grade,Once or Twice,Alcohol,2014,Risk,14.755053663,2019,
8th Grade,Once or Twice,Alcohol,2015,Risk,15.333106389,2019,
8th Grade,Once or Twice,Alcohol,2016,Risk,14.734160513,2019,
8th Grade,Once or Twice,Alcohol,2017,Risk,14.199463673,2019,
8th Grade,Once or Twice,Alcohol,2018,Risk,13.620933935,2019,
8th Grade,Once or Twice,Alcohol,2019,Risk,13.448262219,2019,
8th Grade,Once or Twice,Alcohol,2021,Risk,10.105460998,2019,
8th Grade,Once or Twice,Alcohol,2022,Risk,12.116300099,2019,
10th Grade,Once or Twice,Alcohol,1991,Risk,9.0455401371,2019,
10th Grade,Once or Twice,Alcohol,1992,Risk,10.126177979,2019,
10th Grade,Once or Twice,Alcohol,1993,Risk,10.877636078,2019,
10th Grade,Once or Twice,Alcohol,1994,Risk,9.4135380666,2019,
10th Grade,Once or Twice,Alcohol,1995,Risk,9.3345695318,2019,
10th Grade,Once or Twice,Alcohol,1996,Risk,8.857168681,2019,
10th Grade,Once or Twice,Alcohol,1997,Risk,8.9755087644,2019,
10th Grade,Once or Twice,Alcohol,1998,Risk,10.068781205,2019,
10th Grade,Once or Twice,Alcohol,1999,Risk,10.508334896,2019,
10th Grade,Once or Twice,Alcohol,2000,Risk,9.5527245657,2019,
10th Grade,Once or Twice,Alcohol,2001,Risk,9.7576375364,2019,
10th Grade,Once or Twice,Alcohol,2002,Risk,11.545276918,2019,
10th Grade,Once or Twice,Alcohol,2003,Risk,11.524880849,2019,
10th Grade,Once or Twice,Alcohol,2004,Risk,10.773478033,2019,
10th Grade,Once or Twice,Alcohol,2005,Risk,11.527054468,2019,
10th Grade,Once or Twice,Alcohol,2006,Risk,11.143713594,2019,
10th Grade,Once or Twice,Alcohol,2007,Risk,11.634005855,2019,
10th Grade,Once or Twice,Alcohol,2008,Risk,12.560648792,2019,
10th Grade,Once or Twice,Alcohol,2009,Risk,11.948977425,2019,
10th Grade,Once or Twice,Alcohol,2010,Risk,11.86280295,2019,
10th Grade,Once or Twice,Alcohol,2011,Risk,12.281966772,2019,
10th Grade,Once or Twice,Alcohol,2012,Risk,11.250266746,2019,
10th Grade,Once or Twice,Alcohol,2013,Risk,11.25454967,2019,
10th Grade,Once or Twice,Alcohol,2014,Risk,11.637685049,2019,
10th Grade,Once or Twice,Alcohol,2015,Risk,12.439118778,2019,
10th Grade,Once or Twice,Alcohol,2016,Risk,13.285906061,2019,
10th Grade,Once or Twice,Alcohol,2017,Risk,12.53379723,2019,
10th Grade,Once or Twice,Alcohol,2018,Risk,13.035883496,2019,
10th Grade,Once or Twice,Alcohol,2019,Risk,13.5854055,2019,
10th Grade,Once or Twice,Alcohol,2021,Risk,13.192851345,2019,
10th Grade,Once or Twice,Alcohol,2022,Risk,12.180017297,2019,
12th Grade,Once or Twice,Alcohol,1976,Risk,4.8363513345,2019,
12th Grade,Once or Twice,Alcohol,1977,Risk,4.1042654927,2019,
12th Grade,Once or Twice,Alcohol,1978,Risk,3.412190962,2019,
12th Grade,Once or Twice,Alcohol,1979,Risk,4.146989399,2019,
12th Grade,Once or Twice,Alcohol,1980,Risk,3.7492349144,2019,
12th Grade,Once or Twice,Alcohol,1981,Risk,4.5792233262,2019,
12th Grade,Once or Twice,Alcohol,1982,Risk,3.5431269713,2019,
12th Grade,Once or Twice,Alcohol,1983,Risk,4.1641509526,2019,
12th Grade,Once or Twice,Alcohol,1984,Risk,4.5707834423,2019,
12th Grade,Once or Twice,Alcohol,1985,Risk,4.9531118021,2019,
12th Grade,Once or Twice,Alcohol,1986,Risk,4.6056086006,2019,
12th Grade,Once or Twice,Alcohol,1987,Risk,6.2053655001,2019,
12th Grade,Once or Twice,Alcohol,1988,Risk,6.0267871159,2019,
12th Grade,Once or Twice,Alcohol,1989,Risk,5.9639628292,2019,
12th Grade,Once or Twice,Alcohol,1990,Risk,8.3413386619,2019,
12th Grade,Once or Twice,Alcohol,1991,Risk,9.0767388086,2019,
12th Grade,Once or Twice,Alcohol,1992,Risk,8.6005555302,2019,
12th Grade,Once or Twice,Alcohol,1993,Risk,8.2017534773,2019,
12th Grade,Once or Twice,Alcohol,1994,Risk,7.6079324906,2019,
12th Grade,Once or Twice,Alcohol,1995,Risk,5.9125544309,2019,
12th Grade,Once or Twice,Alcohol,1996,Risk,7.3274383324,2019,
12th Grade,Once or Twice,Alcohol,1997,Risk,6.703871587,2019,
12th Grade,Once or Twice,Alcohol,1998,Risk,8.0238072105,2019,
12th Grade,Once or Twice,Alcohol,1999,Risk,8.2973813421,2019,
12th Grade,Once or Twice,Alcohol,2000,Risk,6.3762943463,2019,
12th Grade,Once or Twice,Alcohol,2001,Risk,8.7246003623,2019,
12th Grade,Once or Twice,Alcohol,2002,Risk,7.6307356476,2019,
12th Grade,Once or Twice,Alcohol,2003,Risk,8.3728170771,2019,
12th Grade,Once or Twice,Alcohol,2004,Risk,8.5599635609,2019,
12th Grade,Once or Twice,Alcohol,2005,Risk,8.4795971112,2019,
12th Grade,Once or Twice,Alcohol,2006,Risk,9.3321335958,2019,
12th Grade,Once or Twice,Alcohol,2007,Risk,10.454580894,2019,
12th Grade,Once or Twice,Alcohol,2008,Risk,9.9919497009,2019,
12th Grade,Once or Twice,Alcohol,2009,Risk,9.4461085282,2019,
12th Grade,Once or Twice,Alcohol,2010,Risk,10.773859597,2019,
12th Grade,Once or Twice,Alcohol,2011,Risk,9.3792594035,2019,
12th Grade,Once or Twice,Alcohol,2012,Risk,8.7315910508,2019,
12th Grade,Once or Twice,Alcohol,2013,Risk,9.9487649377,2019,
12th Grade,Once or Twice,Alcohol,2014,Risk,8.6446472345,2019,
12th Grade,Once or Twice,Alcohol,2015,Risk,10.34448814,2019,
12th Grade,Once or Twice,Alcohol,2016,Risk,9.5058215915,2019,
12th Grade,Once or Twice,Alcohol,2017,Risk,9.3350685672,2019,
12th Grade,Once or Twice,Alcohol,2018,Risk,10.192776851,2019,
12th Grade,Once or Twice,Alcohol,2019,Risk,9.680626625,2019,
12th Grade,Once or Twice,Alcohol,2021,Risk,9.7477391392,2019,
12th Grade,Once or Twice,Alcohol,2022,Risk,9.9551611979,2019,
8th Grade,One or Two a Day,Alcohol,1991,Risk,31.794019263,2019,
8th Grade,One or Two a Day,Alcohol,1992,Risk,32.351756551,2019,
8th Grade,One or Two a Day,Alcohol,1993,Risk,32.559449859,2019,
8th Grade,One or Two a Day,Alcohol,1994,Risk,29.874317327,2019,
8th Grade,One or Two a Day,Alcohol,1995,Risk,30.472901929,2019,
8th Grade,One or Two a Day,Alcohol,1996,Risk,28.631938265,2019,
8th Grade,One or Two a Day,Alcohol,1997,Risk,29.056750862,2019,
8th Grade,One or Two a Day,Alcohol,1998,Risk,30.272560258,2019,
8th Grade,One or Two a Day,Alcohol,1999,Risk,29.668820927,2019,
8th Grade,One or Two a Day,Alcohol,2000,Risk,30.413389143,2019,
8th Grade,One or Two a Day,Alcohol,2001,Risk,30.01329867,2019,
8th Grade,One or Two a Day,Alcohol,2002,Risk,29.590568048,2019,
8th Grade,One or Two a Day,Alcohol,2003,Risk,29.846941509,2019,
8th Grade,One or Two a Day,Alcohol,2004,Risk,30.999902787,2019,
8th Grade,One or Two a Day,Alcohol,2005,Risk,31.369735325,2019,
8th Grade,One or Two a Day,Alcohol,2006,Risk,31.265391586,2019,
8th Grade,One or Two a Day,Alcohol,2007,Risk,32.647867165,2019,
8th Grade,One or Two a Day,Alcohol,2008,Risk,31.460347029,2019,
8th Grade,One or Two a Day,Alcohol,2009,Risk,31.487896663,2019,
8th Grade,One or Two a Day,Alcohol,2010,Risk,32.337370093,2019,
8th Grade,One or Two a Day,Alcohol,2011,Risk,31.834001627,2019,
8th Grade,One or Two a Day,Alcohol,2012,Risk,31.44302456,2019,
8th Grade,One or Two a Day,Alcohol,2013,Risk,30.63421459,2019,
8th Grade,One or Two a Day,Alcohol,2014,Risk,30.972447873,2019,
8th Grade,One or Two a Day,Alcohol,2015,Risk,30.87300647,2019,
8th Grade,One or Two a Day,Alcohol,2016,Risk,30.66648333,2019,
8th Grade,One or Two a Day,Alcohol,2017,Risk,30.009340733,2019,
8th Grade,One or Two a Day,Alcohol,2018,Risk,28.700197883,2019,
8th Grade,One or Two a Day,Alcohol,2019,Risk,26.904018714,2019,
8th Grade,One or Two a Day,Alcohol,2021,Risk,27.19650058,2019,
8th Grade,One or Two a Day,Alcohol,2022,Risk,29.532988181,2019,
10th Grade,One or Two a Day,Alcohol,1991,Risk,36.077732398,2019,
10th Grade,One or Two a Day,Alcohol,1992,Risk,36.809485706,2019,
10th Grade,One or Two a Day,Alcohol,1993,Risk,35.929135982,2019,
10th Grade,One or Two a Day,Alcohol,1994,Risk,32.502688681,2019,
10th Grade,One or Two a Day,Alcohol,1995,Risk,31.650648164,2019,
10th Grade,One or Two a Day,Alcohol,1996,Risk,31.245399394,2019,
10th Grade,One or Two a Day,Alcohol,1997,Risk,31.762462094,2019,
10th Grade,One or Two a Day,Alcohol,1998,Risk,31.922002457,2019,
10th Grade,One or Two a Day,Alcohol,1999,Risk,32.86455604,2019,
10th Grade,One or Two a Day,Alcohol,2000,Risk,32.302486851,2019,
10th Grade,One or Two a Day,Alcohol,2001,Risk,31.488348747,2019,
10th Grade,One or Two a Day,Alcohol,2002,Risk,31.009569216,2019,
10th Grade,One or Two a Day,Alcohol,2003,Risk,30.890405556,2019,
10th Grade,One or Two a Day,Alcohol,2004,Risk,31.298511157,2019,
10th Grade,One or Two a Day,Alcohol,2005,Risk,32.634304762,2019,
10th Grade,One or Two a Day,Alcohol,2006,Risk,31.745000991,2019,
10th Grade,One or Two a Day,Alcohol,2007,Risk,33.331699989,2019,
10th Grade,One or Two a Day,Alcohol,2008,Risk,35.038285605,2019,
10th Grade,One or Two a Day,Alcohol,2009,Risk,33.830167741,2019,
10th Grade,One or Two a Day,Alcohol,2010,Risk,33.100245493,2019,
10th Grade,One or Two a Day,Alcohol,2011,Risk,32.913520123,2019,
10th Grade,One or Two a Day,Alcohol,2012,Risk,31.798244073,2019,
10th Grade,One or Two a Day,Alcohol,2013,Risk,30.619747015,2019,
10th Grade,One or Two a Day,Alcohol,2014,Risk,31.288494628,2019,
10th Grade,One or Two a Day,Alcohol,2015,Risk,31.24839839,2019,
10th Grade,One or Two a Day,Alcohol,2016,Risk,32.244236409,2019,
10th Grade,One or Two a Day,Alcohol,2017,Risk,30.887799316,2019,
10th Grade,One or Two a Day,Alcohol,2018,Risk,30.301666584,2019,
10th Grade,One or Two a Day,Alcohol,2019,Risk,31.01533351,2019,
10th Grade,One or Two a Day,Alcohol,2021,Risk,34.669745961,2019,
10th Grade,One or Two a Day,Alcohol,2022,Risk,31.415291496,2019,
12th Grade,One or Two a Day,Alcohol,1976,Risk,21.236028839,2019,
12th Grade,One or Two a Day,Alcohol,1977,Risk,18.548228059,2019,
12th Grade,One or Two a Day,Alcohol,1978,Risk,19.651393862,2019,
12th Grade,One or Two a Day,Alcohol,1979,Risk,22.571127825,2019,
12th Grade,One or Two a Day,Alcohol,1980,Risk,20.314176116,2019,
12th Grade,One or Two a Day,Alcohol,1981,Risk,21.609252699,2019,
12th Grade,One or Two a Day,Alcohol,1982,Risk,21.556890531,2019,
12th Grade,One or Two a Day,Alcohol,1983,Risk,21.56203641,2019,
12th Grade,One or Two a Day,Alcohol,1984,Risk,23.012258391,2019,
12th Grade,One or Two a Day,Alcohol,1985,Risk,24.369964594,2019,
12th Grade,One or Two a Day,Alcohol,1986,Risk,25.112845515,2019,
12th Grade,One or Two a Day,Alcohol,1987,Risk,26.160565099,2019,
12th Grade,One or Two a Day,Alcohol,1988,Risk,27.295525385,2019,
12th Grade,One or Two a Day,Alcohol,1989,Risk,28.533180616,2019,
12th Grade,One or Two a Day,Alcohol,1990,Risk,31.309908736,2019,
12th Grade,One or Two a Day,Alcohol,1991,Risk,32.686933728,2019,
12th Grade,One or Two a Day,Alcohol,1992,Risk,30.581609275,2019,
12th Grade,One or Two a Day,Alcohol,1993,Risk,28.15762461,2019,
12th Grade,One or Two a Day,Alcohol,1994,Risk,27.015714686,2019,
12th Grade,One or Two a Day,Alcohol,1995,Risk,24.77505936,2019,
12th Grade,One or Two a Day,Alcohol,1996,Risk,25.113660827,2019,
12th Grade,One or Two a Day,Alcohol,1997,Risk,24.79214917,2019,
12th Grade,One or Two a Day,Alcohol,1998,Risk,24.327098255,2019,
12th Grade,One or Two a Day,Alcohol,1999,Risk,21.804086735,2019,
12th Grade,One or Two a Day,Alcohol,2000,Risk,21.707976409,2019,
12th Grade,One or Two a Day,Alcohol,2001,Risk,23.386234513,2019,
12th Grade,One or Two a Day,Alcohol,2002,Risk,20.952834458,2019,
12th Grade,One or Two a Day,Alcohol,2003,Risk,20.093319146,2019,
12th Grade,One or Two a Day,Alcohol,2004,Risk,22.967205119,2019,
12th Grade,One or Two a Day,Alcohol,2005,Risk,23.660536997,2019,
12th Grade,One or Two a Day,Alcohol,2006,Risk,25.274642388,2019,
12th Grade,One or Two a Day,Alcohol,2007,Risk,25.070187642,2019,
12th Grade,One or Two a Day,Alcohol,2008,Risk,24.212119757,2019,
12th Grade,One or Two a Day,Alcohol,2009,Risk,23.734086603,2019,
12th Grade,One or Two a Day,Alcohol,2010,Risk,25.412026364,2019,
12th Grade,One or Two a Day,Alcohol,2011,Risk,24.610612121,2019,
12th Grade,One or Two a Day,Alcohol,2012,Risk,23.669949835,2019,
12th Grade,One or Two a Day,Alcohol,2013,Risk,23.073440288,2019,
12th Grade,One or Two a Day,Alcohol,2014,Risk,21.118094227,2019,
12th Grade,One or Two a Day,Alcohol,2015,Risk,21.538942245,2019,
12th Grade,One or Two a Day,Alcohol,2016,Risk,21.593183484,2019,
12th Grade,One or Two a Day,Alcohol,2017,Risk,21.644821394,2019,
12th Grade,One or Two a Day,Alcohol,2018,Risk,22.823402018,2019,
12th Grade,One or Two a Day,Alcohol,2019,Risk,21.046627642,2019,
12th Grade,One or Two a Day,Alcohol,2021,Risk,21.851112568,2019,
12th Grade,One or Two a Day,Alcohol,2022,Risk,23.278054459,2019,
12th Grade,Four or Five a Day,Alcohol,1976,Risk,60.991691346,2019,
12th Grade,Four or Five a Day,Alcohol,1977,Risk,62.947496338,2019,
12th Grade,Four or Five a Day,Alcohol,1978,Risk,63.113261653,2019,
12th Grade,Four or Five a Day,Alcohol,1979,Risk,66.199321764,2019,
12th Grade,Four or Five a Day,Alcohol,1980,Risk,65.728275552,2019,
12th Grade,Four or Five a Day,Alcohol,1981,Risk,64.446199633,2019,
12th Grade,Four or Five a Day,Alcohol,1982,Risk,65.546574834,2019,
12th Grade,Four or Five a Day,Alcohol,1983,Risk,66.790056017,2019,
12th Grade,Four or Five a Day,Alcohol,1984,Risk,68.36022981,2019,
12th Grade,Four or Five a Day,Alcohol,1985,Risk,69.783349681,2019,
12th Grade,Four or Five a Day,Alcohol,1986,Risk,66.535780302,2019,
12th Grade,Four or Five a Day,Alcohol,1987,Risk,69.737758671,2019,
12th Grade,Four or Five a Day,Alcohol,1988,Risk,68.535234556,2019,
12th Grade,Four or Five a Day,Alcohol,1989,Risk,69.777092176,2019,
12th Grade,Four or Five a Day,Alcohol,1990,Risk,70.861036641,2019,
12th Grade,Four or Five a Day,Alcohol,1991,Risk,69.520636913,2019,
12th Grade,Four or Five a Day,Alcohol,1992,Risk,70.498813677,2019,
12th Grade,Four or Five a Day,Alcohol,1993,Risk,67.809162583,2019,
12th Grade,Four or Five a Day,Alcohol,1994,Risk,66.232074507,2019,
12th Grade,Four or Five a Day,Alcohol,1995,Risk,62.823620808,2019,
12th Grade,Four or Five a Day,Alcohol,1996,Risk,65.586227611,2019,
12th Grade,Four or Five a Day,Alcohol,1997,Risk,62.986101094,2019,
12th Grade,Four or Five a Day,Alcohol,1998,Risk,62.051215905,2019,
12th Grade,Four or Five a Day,Alcohol,1999,Risk,61.051350252,2019,
12th Grade,Four or Five a Day,Alcohol,2000,Risk,59.890506273,2019,
12th Grade,Four or Five a Day,Alcohol,2001,Risk,60.673929859,2019,
12th Grade,Four or Five a Day,Alcohol,2002,Risk,58.779426512,2019,
12th Grade,Four or Five a Day,Alcohol,2003,Risk,57.756638173,2019,
12th Grade,Four or Five a Day,Alcohol,2004,Risk,59.205613419,2019,
12th Grade,Four or Five a Day,Alcohol,2005,Risk,61.822350509,2019,
12th Grade,Four or Five a Day,Alcohol,2006,Risk,63.409641739,2019,
12th Grade,Four or Five a Day,Alcohol,2007,Risk,61.807762948,2019,
12th Grade,Four or Five a Day,Alcohol,2008,Risk,60.809172894,2019,
12th Grade,Four or Five a Day,Alcohol,2009,Risk,62.376859628,2019,
12th Grade,Four or Five a Day,Alcohol,2010,Risk,61.118519553,2019,
12th Grade,Four or Five a Day,Alcohol,2011,Risk,62.268969864,2019,
12th Grade,Four or Five a Day,Alcohol,2012,Risk,63.646159575,2019,
12th Grade,Four or Five a Day,Alcohol,2013,Risk,62.416311434,2019,
12th Grade,Four or Five a Day,Alcohol,2014,Risk,61.154309287,2019,
12th Grade,Four or Five a Day,Alcohol,2015,Risk,59.135706884,2019,
12th Grade,Four or Five a Day,Alcohol,2016,Risk,59.093311409,2019,
12th Grade,Four or Five a Day,Alcohol,2017,Risk,58.70514116,2019,
12th Grade,Four or Five a Day,Alcohol,2018,Risk,59.05738816,2019,
12th Grade,Four or Five a Day,Alcohol,2019,Risk,59.722834326,2019,
12th Grade,Four or Five a Day,Alcohol,2021,Risk,64.288980215,2019,
12th Grade,Four or Five a Day,Alcohol,2022,Risk,66.623531115,2019,
8th Grade,Binge,Alcohol,1991,Risk,59.08587598,2019,
8th Grade,Binge,Alcohol,1992,Risk,57.972976944,2019,
8th Grade,Binge,Alcohol,1993,Risk,57.709877304,2019,
8th Grade,Binge,Alcohol,1994,Risk,54.739314102,2019,
8th Grade,Binge,Alcohol,1995,Risk,54.125661645,2019,
8th Grade,Binge,Alcohol,1996,Risk,51.80452384,2019,
8th Grade,Binge,Alcohol,1997,Risk,55.633591499,2019,
8th Grade,Binge,Alcohol,1998,Risk,56.015805233,2019,
8th Grade,Binge,Alcohol,1999,Risk,55.253864472,2019,
8th Grade,Binge,Alcohol,2000,Risk,55.886995813,2019,
8th Grade,Binge,Alcohol,2001,Risk,56.069278262,2019,
8th Grade,Binge,Alcohol,2002,Risk,56.436106323,2019,
8th Grade,Binge,Alcohol,2003,Risk,56.480246589,2019,
8th Grade,Binge,Alcohol,2004,Risk,56.889167649,2019,
8th Grade,Binge,Alcohol,2005,Risk,57.156335399,2019,
8th Grade,Binge,Alcohol,2006,Risk,56.432924865,2019,
8th Grade,Binge,Alcohol,2007,Risk,57.869072887,2019,
8th Grade,Binge,Alcohol,2008,Risk,56.95432267,2019,
8th Grade,Binge,Alcohol,2009,Risk,55.773607896,2019,
8th Grade,Binge,Alcohol,2010,Risk,57.201093837,2019,
8th Grade,Binge,Alcohol,2011,Risk,58.442247371,2019,
8th Grade,Binge,Alcohol,2012,Risk,58.177356823,2019,
8th Grade,Binge,Alcohol,2013,Risk,55.744987393,2019,
8th Grade,Binge,Alcohol,2014,Risk,54.332188546,2019,
8th Grade,Binge,Alcohol,2015,Risk,53.928784705,2019,
8th Grade,Binge,Alcohol,2016,Risk,53.380253148,2019,
8th Grade,Binge,Alcohol,2017,Risk,53.700867203,2019,
8th Grade,Binge,Alcohol,2018,Risk,52.303121972,2019,
8th Grade,Binge,Alcohol,2019,Risk,50.702675044,2019,
8th Grade,Binge,Alcohol,2021,Risk,51.781448022,2019,
8th Grade,Binge,Alcohol,2022,Risk,51.935933344,2019,
10th Grade,Binge,Alcohol,1991,Risk,54.722803425,2019,
10th Grade,Binge,Alcohol,1992,Risk,55.897407412,2019,
10th Grade,Binge,Alcohol,1993,Risk,54.90285261,2019,
10th Grade,Binge,Alcohol,1994,Risk,52.912837787,2019,
10th Grade,Binge,Alcohol,1995,Risk,51.992816176,2019,
10th Grade,Binge,Alcohol,1996,Risk,50.909900553,2019,
10th Grade,Binge,Alcohol,1997,Risk,51.831291279,2019,
10th Grade,Binge,Alcohol,1998,Risk,52.51046247,2019,
10th Grade,Binge,Alcohol,1999,Risk,51.94350494,2019,
10th Grade,Binge,Alcohol,2000,Risk,51.011049151,2019,
10th Grade,Binge,Alcohol,2001,Risk,50.742788803,2019,
10th Grade,Binge,Alcohol,2002,Risk,51.745135757,2019,
10th Grade,Binge,Alcohol,2003,Risk,51.640759203,2019,
10th Grade,Binge,Alcohol,2004,Risk,51.653755176,2019,
10th Grade,Binge,Alcohol,2005,Risk,53.249798294,2019,
10th Grade,Binge,Alcohol,2006,Risk,52.426844655,2019,
10th Grade,Binge,Alcohol,2007,Risk,54.134374028,2019,
10th Grade,Binge,Alcohol,2008,Risk,56.617803058,2019,
10th Grade,Binge,Alcohol,2009,Risk,54.227695976,2019,
10th Grade,Binge,Alcohol,2010,Risk,54.572308352,2019,
10th Grade,Binge,Alcohol,2011,Risk,55.486721081,2019,
10th Grade,Binge,Alcohol,2012,Risk,52.791549979,2019,
10th Grade,Binge,Alcohol,2013,Risk,52.293747302,2019,
10th Grade,Binge,Alcohol,2014,Risk,54.043313323,2019,
10th Grade,Binge,Alcohol,2015,Risk,54.527106404,2019,
10th Grade,Binge,Alcohol,2016,Risk,54.514137359,2019,
10th Grade,Binge,Alcohol,2017,Risk,51.98682598,2019,
10th Grade,Binge,Alcohol,2018,Risk,51.842596699,2019,
10th Grade,Binge,Alcohol,2019,Risk,52.567690016,2019,
10th Grade,Binge,Alcohol,2021,Risk,54.206683394,2019,
10th Grade,Binge,Alcohol,2022,Risk,51.404593589,2019,
