drug1,estimate,time,drug,raceEthnicity,sex,age,year
ALC 30-DAY,63.99,30 Day,Alcohol,HISPANIC,,Ages 19-30,1999
ALC 30-DAY,59.37,30 Day,Alcohol,HISPANIC,,Ages 19-30,2000
ALC 30-DAY,64.11,30 Day,Alcohol,HISPANIC,,Ages 19-30,2001
ALC 30-DAY,62.93,30 Day,Alcohol,HISPANIC,,Ages 19-30,2002
ALC 30-DAY,64.34,30 Day,Alcohol,HISPANIC,,Ages 19-30,2003
ALC 30-DAY,64.34,30 Day,Alcohol,HISPANIC,,Ages 19-30,2004
ALC 30-DAY,64.64,30 Day,Alcohol,HISPANIC,,Ages 19-30,2005
ALC 30-DAY,63.24,30 Day,Alcohol,HISPANIC,,Ages 19-30,2006
ALC 30-DAY,62.36,30 Day,Alcohol,HISPANIC,,Ages 19-30,2007
ALC 30-DAY,63.85,30 Day,Alcohol,HISPANIC,,Ages 19-30,2008
ALC 30-DAY,64.07,30 Day,Alcohol,HISPANIC,,Ages 19-30,2009
ALC 30-DAY,59.37,30 Day,Alcohol,HISPANIC,,Ages 19-30,2010
ALC 30-DAY,62.74,30 Day,Alcohol,HISPANIC,,Ages 19-30,2011
ALC 30-DAY,64.67,30 Day,Alcohol,HISPANIC,,Ages 19-30,2012
ALC 30-DAY,63.93,30 Day,Alcohol,HISPANIC,,Ages 19-30,2013
ALC 30-DAY,62.29,30 Day,Alcohol,HISPANIC,,Ages 19-30,2014
ALC 30-DAY,61.91,30 Day,Alcohol,HISPANIC,,Ages 19-30,2015
ALC 30-DAY,60.6,30 Day,Alcohol,HISPANIC,,Ages 19-30,2016
ALC 30-DAY,64.33,30 Day,Alcohol,HISPANIC,,Ages 19-30,2017
ALC 30-DAY,62.7,30 Day,Alcohol,HISPANIC,,Ages 19-30,2018
ALC 30-DAY,60.7,30 Day,Alcohol,HISPANIC,,Ages 19-30,2019
ALC 30-DAY,60.7,30 Day,Alcohol,HISPANIC,,Ages 19-30,2020
ALC 30-DAY,60.8,30 Day,Alcohol,HISPANIC,,Ages 19-30,2021
ALC 30-DAY,66.2,30 Day,Alcohol,HISPANIC,,Ages 19-30,2022
ALC 30-DAY,59.2,30 Day,Alcohol,HISPANIC,,Ages 19-30,2023
ALC 30-DAY,79.84,30 Day,Alcohol,,MEN,Ages 19-30,1988
ALC 30-DAY,78.58,30 Day,Alcohol,,MEN,Ages 19-30,1989
ALC 30-DAY,78.15,30 Day,Alcohol,,MEN,Ages 19-30,1990
ALC 30-DAY,76.51,30 Day,Alcohol,,MEN,Ages 19-30,1991
ALC 30-DAY,75.46,30 Day,Alcohol,,MEN,Ages 19-30,1992
ALC 30-DAY,73.96,30 Day,Alcohol,,MEN,Ages 19-30,1993
ALC 30-DAY,75.14,30 Day,Alcohol,,MEN,Ages 19-30,1994
ALC 30-DAY,74.38,30 Day,Alcohol,,MEN,Ages 19-30,1995
ALC 30-DAY,72.15,30 Day,Alcohol,,MEN,Ages 19-30,1996
ALC 30-DAY,73.85,30 Day,Alcohol,,MEN,Ages 19-30,1997
ALC 30-DAY,72.55,30 Day,Alcohol,,MEN,Ages 19-30,1998
ALC 30-DAY,73,30 Day,Alcohol,,MEN,Ages 19-30,1999
ALC 30-DAY,72.11,30 Day,Alcohol,,MEN,Ages 19-30,2000
ALC 30-DAY,73.24,30 Day,Alcohol,,MEN,Ages 19-30,2001
ALC 30-DAY,72.77,30 Day,Alcohol,,MEN,Ages 19-30,2002
ALC 30-DAY,72.09,30 Day,Alcohol,,MEN,Ages 19-30,2003
ALC 30-DAY,72.17,30 Day,Alcohol,,MEN,Ages 19-30,2004
ALC 30-DAY,72.67,30 Day,Alcohol,,MEN,Ages 19-30,2005
ALC 30-DAY,73.39,30 Day,Alcohol,,MEN,Ages 19-30,2006
ALC 30-DAY,73.14,30 Day,Alcohol,,MEN,Ages 19-30,2007
ALC 30-DAY,71.77,30 Day,Alcohol,,MEN,Ages 19-30,2008
ALC 30-DAY,74.68,30 Day,Alcohol,,MEN,Ages 19-30,2009
ALC 30-DAY,71.18,30 Day,Alcohol,,MEN,Ages 19-30,2010
ALC 30-DAY,73.03,30 Day,Alcohol,,MEN,Ages 19-30,2011
ALC 30-DAY,70.78,30 Day,Alcohol,,MEN,Ages 19-30,2012
ALC 30-DAY,71.62,30 Day,Alcohol,,MEN,Ages 19-30,2013
ALC 30-DAY,71.04,30 Day,Alcohol,,MEN,Ages 19-30,2014
ALC 30-DAY,70.82,30 Day,Alcohol,,MEN,Ages 19-30,2015
ALC 30-DAY,70.1,30 Day,Alcohol,,MEN,Ages 19-30,2016
ALC 30-DAY,69.91,30 Day,Alcohol,,MEN,Ages 19-30,2017
ALC 30-DAY,67.8,30 Day,Alcohol,,MEN,Ages 19-30,2018
ALC 30-DAY,66.6,30 Day,Alcohol,,MEN,Ages 19-30,2019
ALC 30-DAY,67.1,30 Day,Alcohol,,MEN,Ages 19-30,2020
ALC 30-DAY,68.6,30 Day,Alcohol,,MEN,Ages 19-30,2021
ALC 30-DAY,68.6,30 Day,Alcohol,,MEN,Ages 19-30,2022
ALC 30-DAY,65.6,30 Day,Alcohol,,MEN,Ages 19-30,2023
ALC 30-DAY,77.48,30 Day,Alcohol,WHITE,,Ages 19-30,1988
ALC 30-DAY,76.15,30 Day,Alcohol,WHITE,,Ages 19-30,1989
ALC 30-DAY,74.83,30 Day,Alcohol,WHITE,,Ages 19-30,1990
ALC 30-DAY,74.41,30 Day,Alcohol,WHITE,,Ages 19-30,1991
ALC 30-DAY,73.44,30 Day,Alcohol,WHITE,,Ages 19-30,1992
ALC 30-DAY,72.29,30 Day,Alcohol,WHITE,,Ages 19-30,1993
ALC 30-DAY,71.82,30 Day,Alcohol,WHITE,,Ages 19-30,1994
ALC 30-DAY,71.6,30 Day,Alcohol,WHITE,,Ages 19-30,1995
ALC 30-DAY,70.65,30 Day,Alcohol,WHITE,,Ages 19-30,1996
ALC 30-DAY,71.43,30 Day,Alcohol,WHITE,,Ages 19-30,1997
ALC 30-DAY,70.47,30 Day,Alcohol,WHITE,,Ages 19-30,1998
ALC 30-DAY,71.88,30 Day,Alcohol,WHITE,,Ages 19-30,1999
ALC 30-DAY,70.29,30 Day,Alcohol,WHITE,,Ages 19-30,2000
ALC 30-DAY,70.68,30 Day,Alcohol,WHITE,,Ages 19-30,2001
ALC 30-DAY,71.76,30 Day,Alcohol,WHITE,,Ages 19-30,2002
ALC 30-DAY,70.82,30 Day,Alcohol,WHITE,,Ages 19-30,2003
ALC 30-DAY,71.17,30 Day,Alcohol,WHITE,,Ages 19-30,2004
ALC 30-DAY,71.96,30 Day,Alcohol,WHITE,,Ages 19-30,2005
ALC 30-DAY,72.9,30 Day,Alcohol,WHITE,,Ages 19-30,2006
ALC 30-DAY,73.11,30 Day,Alcohol,WHITE,,Ages 19-30,2007
ALC 30-DAY,73.17,30 Day,Alcohol,WHITE,,Ages 19-30,2008
ALC 30-DAY,73.93,30 Day,Alcohol,WHITE,,Ages 19-30,2009
ALC 30-DAY,73.33,30 Day,Alcohol,WHITE,,Ages 19-30,2010
ALC 30-DAY,72.59,30 Day,Alcohol,WHITE,,Ages 19-30,2011
ALC 30-DAY,72.76,30 Day,Alcohol,WHITE,,Ages 19-30,2012
ALC 30-DAY,72.09,30 Day,Alcohol,WHITE,,Ages 19-30,2013
ALC 30-DAY,72.54,30 Day,Alcohol,WHITE,,Ages 19-30,2014
ALC 30-DAY,72.13,30 Day,Alcohol,WHITE,,Ages 19-30,2015
ALC 30-DAY,73.7,30 Day,Alcohol,WHITE,,Ages 19-30,2016
ALC 30-DAY,71.09,30 Day,Alcohol,WHITE,,Ages 19-30,2017
ALC 30-DAY,69,30 Day,Alcohol,WHITE,,Ages 19-30,2018
ALC 30-DAY,71.8,30 Day,Alcohol,WHITE,,Ages 19-30,2019
ALC 30-DAY,69.4,30 Day,Alcohol,WHITE,,Ages 19-30,2020
ALC 30-DAY,71.3,30 Day,Alcohol,WHITE,,Ages 19-30,2021
ALC 30-DAY,70.3,30 Day,Alcohol,WHITE,,Ages 19-30,2022
ALC 30-DAY,69.3,30 Day,Alcohol,WHITE,,Ages 19-30,2023
ALC 30-DAY,68.39,30 Day,Alcohol,,WOMEN,Ages 19-30,1988
ALC 30-DAY,67.51,30 Day,Alcohol,,WOMEN,Ages 19-30,1989
ALC 30-DAY,65.01,30 Day,Alcohol,,WOMEN,Ages 19-30,1990
ALC 30-DAY,65.55,30 Day,Alcohol,,WOMEN,Ages 19-30,1991
ALC 30-DAY,63.57,30 Day,Alcohol,,WOMEN,Ages 19-30,1992
ALC 30-DAY,62.58,30 Day,Alcohol,,WOMEN,Ages 19-30,1993
ALC 30-DAY,61.14,30 Day,Alcohol,,WOMEN,Ages 19-30,1994
ALC 30-DAY,61.55,30 Day,Alcohol,,WOMEN,Ages 19-30,1995
ALC 30-DAY,61.98,30 Day,Alcohol,,WOMEN,Ages 19-30,1996
ALC 30-DAY,60.51,30 Day,Alcohol,,WOMEN,Ages 19-30,1997
ALC 30-DAY,60.87,30 Day,Alcohol,,WOMEN,Ages 19-30,1998
ALC 30-DAY,61.82,30 Day,Alcohol,,WOMEN,Ages 19-30,1999
ALC 30-DAY,60.15,30 Day,Alcohol,,WOMEN,Ages 19-30,2000
ALC 30-DAY,60.5,30 Day,Alcohol,,WOMEN,Ages 19-30,2001
ALC 30-DAY,63.21,30 Day,Alcohol,,WOMEN,Ages 19-30,2002
ALC 30-DAY,61.05,30 Day,Alcohol,,WOMEN,Ages 19-30,2003
ALC 30-DAY,62.87,30 Day,Alcohol,,WOMEN,Ages 19-30,2004
ALC 30-DAY,62.61,30 Day,Alcohol,,WOMEN,Ages 19-30,2005
ALC 30-DAY,63.47,30 Day,Alcohol,,WOMEN,Ages 19-30,2006
ALC 30-DAY,64.67,30 Day,Alcohol,,WOMEN,Ages 19-30,2007
ALC 30-DAY,66.56,30 Day,Alcohol,,WOMEN,Ages 19-30,2008
ALC 30-DAY,65.27,30 Day,Alcohol,,WOMEN,Ages 19-30,2009
ALC 30-DAY,63.92,30 Day,Alcohol,,WOMEN,Ages 19-30,2010
ALC 30-DAY,64.45,30 Day,Alcohol,,WOMEN,Ages 19-30,2011
ALC 30-DAY,66.17,30 Day,Alcohol,,WOMEN,Ages 19-30,2012
ALC 30-DAY,64.51,30 Day,Alcohol,,WOMEN,Ages 19-30,2013
ALC 30-DAY,65.32,30 Day,Alcohol,,WOMEN,Ages 19-30,2014
ALC 30-DAY,64.81,30 Day,Alcohol,,WOMEN,Ages 19-30,2015
ALC 30-DAY,66.2,30 Day,Alcohol,,WOMEN,Ages 19-30,2016
ALC 30-DAY,63.69,30 Day,Alcohol,,WOMEN,Ages 19-30,2017
ALC 30-DAY,64.1,30 Day,Alcohol,,WOMEN,Ages 19-30,2018
ALC 30-DAY,66.9,30 Day,Alcohol,,WOMEN,Ages 19-30,2019
ALC 30-DAY,62.8,30 Day,Alcohol,,WOMEN,Ages 19-30,2020
ALC 30-DAY,66,30 Day,Alcohol,,WOMEN,Ages 19-30,2021
ALC 30-DAY,66.7,30 Day,Alcohol,,WOMEN,Ages 19-30,2022
ALC 30-DAY,65.1,30 Day,Alcohol,,WOMEN,Ages 19-30,2023
ALC 30-DAY,49.78,30 Day,Alcohol,BLACK,,Ages 35-50,2008
ALC 30-DAY,50.15,30 Day,Alcohol,BLACK,,Ages 35-50,2009
ALC 30-DAY,58.5,30 Day,Alcohol,BLACK,,Ages 35-50,2010
ALC 30-DAY,57.3,30 Day,Alcohol,BLACK,,Ages 35-50,2011
ALC 30-DAY,50.71,30 Day,Alcohol,BLACK,,Ages 35-50,2012
ALC 30-DAY,57.69,30 Day,Alcohol,BLACK,,Ages 35-50,2013
ALC 30-DAY,58.36,30 Day,Alcohol,BLACK,,Ages 35-50,2014
ALC 30-DAY,55.3,30 Day,Alcohol,BLACK,,Ages 35-50,2015
ALC 30-DAY,60.6,30 Day,Alcohol,BLACK,,Ages 35-50,2016
ALC 30-DAY,56.17,30 Day,Alcohol,BLACK,,Ages 35-50,2017
ALC 30-DAY,60.1,30 Day,Alcohol,BLACK,,Ages 35-50,2018
ALC 30-DAY,60.8,30 Day,Alcohol,BLACK,,Ages 35-50,2019
ALC 30-DAY,65.8,30 Day,Alcohol,BLACK,,Ages 35-50,2020
ALC 30-DAY,64.8,30 Day,Alcohol,BLACK,,Ages 35-50,2021
ALC 30-DAY,57.5,30 Day,Alcohol,BLACK,,Ages 35-50,2022
ALC 30-DAY,60.1,30 Day,Alcohol,BLACK,,Ages 35-50,2023
ALC 30-DAY,58.85,30 Day,Alcohol,HISPANIC,,Ages 35-50,2008
ALC 30-DAY,63.32,30 Day,Alcohol,HISPANIC,,Ages 35-50,2009
ALC 30-DAY,70.69,30 Day,Alcohol,HISPANIC,,Ages 35-50,2010
ALC 30-DAY,62.8,30 Day,Alcohol,HISPANIC,,Ages 35-50,2011
ALC 30-DAY,72.18,30 Day,Alcohol,HISPANIC,,Ages 35-50,2012
ALC 30-DAY,68.88,30 Day,Alcohol,HISPANIC,,Ages 35-50,2013
ALC 30-DAY,59.73,30 Day,Alcohol,HISPANIC,,Ages 35-50,2014
ALC 30-DAY,64.2,30 Day,Alcohol,HISPANIC,,Ages 35-50,2015
ALC 30-DAY,66.7,30 Day,Alcohol,HISPANIC,,Ages 35-50,2016
ALC 30-DAY,73.23,30 Day,Alcohol,HISPANIC,,Ages 35-50,2017
ALC 30-DAY,67.7,30 Day,Alcohol,HISPANIC,,Ages 35-50,2018
ALC 30-DAY,69.5,30 Day,Alcohol,HISPANIC,,Ages 35-50,2019
ALC 30-DAY,63.6,30 Day,Alcohol,HISPANIC,,Ages 35-50,2020
ALC 30-DAY,68.2,30 Day,Alcohol,HISPANIC,,Ages 35-50,2021
ALC 30-DAY,77.3,30 Day,Alcohol,HISPANIC,,Ages 35-50,2022
ALC 30-DAY,76.8,30 Day,Alcohol,HISPANIC,,Ages 35-50,2023
ALC 30-DAY,71.89,30 Day,Alcohol,,MEN,Ages 35-50,2008
ALC 30-DAY,73.57,30 Day,Alcohol,,MEN,Ages 35-50,2009
ALC 30-DAY,72.23,30 Day,Alcohol,,MEN,Ages 35-50,2010
ALC 30-DAY,71.05,30 Day,Alcohol,,MEN,Ages 35-50,2011
ALC 30-DAY,70.37,30 Day,Alcohol,,MEN,Ages 35-50,2012
ALC 30-DAY,72.61,30 Day,Alcohol,,MEN,Ages 35-50,2013
ALC 30-DAY,74.38,30 Day,Alcohol,,MEN,Ages 35-50,2014
ALC 30-DAY,71.5,30 Day,Alcohol,,MEN,Ages 35-50,2015
ALC 30-DAY,71.4,30 Day,Alcohol,,MEN,Ages 35-50,2016
ALC 30-DAY,73.69,30 Day,Alcohol,,MEN,Ages 35-50,2017
ALC 30-DAY,71.2,30 Day,Alcohol,,MEN,Ages 35-50,2018
ALC 30-DAY,74.3,30 Day,Alcohol,,MEN,Ages 35-50,2019
ALC 30-DAY,71.6,30 Day,Alcohol,,MEN,Ages 35-50,2020
ALC 30-DAY,72.6,30 Day,Alcohol,,MEN,Ages 35-50,2021
ALC 30-DAY,74.1,30 Day,Alcohol,,MEN,Ages 35-50,2022
ALC 30-DAY,74.4,30 Day,Alcohol,,MEN,Ages 35-50,2023
ALC 30-DAY,68.64,30 Day,Alcohol,WHITE,,Ages 35-50,2008
ALC 30-DAY,69.89,30 Day,Alcohol,WHITE,,Ages 35-50,2009
ALC 30-DAY,70.36,30 Day,Alcohol,WHITE,,Ages 35-50,2010
ALC 30-DAY,69.73,30 Day,Alcohol,WHITE,,Ages 35-50,2011
ALC 30-DAY,71.12,30 Day,Alcohol,WHITE,,Ages 35-50,2012
ALC 30-DAY,69.64,30 Day,Alcohol,WHITE,,Ages 35-50,2013
ALC 30-DAY,71.27,30 Day,Alcohol,WHITE,,Ages 35-50,2014
ALC 30-DAY,71.94,30 Day,Alcohol,WHITE,,Ages 35-50,2015
ALC 30-DAY,70.2,30 Day,Alcohol,WHITE,,Ages 35-50,2016
ALC 30-DAY,73.25,30 Day,Alcohol,WHITE,,Ages 35-50,2017
ALC 30-DAY,70.3,30 Day,Alcohol,WHITE,,Ages 35-50,2018
ALC 30-DAY,73.5,30 Day,Alcohol,WHITE,,Ages 35-50,2019
ALC 30-DAY,71.7,30 Day,Alcohol,WHITE,,Ages 35-50,2020
ALC 30-DAY,72.8,30 Day,Alcohol,WHITE,,Ages 35-50,2021
ALC 30-DAY,73.8,30 Day,Alcohol,WHITE,,Ages 35-50,2022
ALC 30-DAY,68.6,30 Day,Alcohol,WHITE,,Ages 35-50,2023
ALC 30-DAY,60.04,30 Day,Alcohol,,WOMEN,Ages 35-50,2008
ALC 30-DAY,60.31,30 Day,Alcohol,,WOMEN,Ages 35-50,2009
ALC 30-DAY,64.38,30 Day,Alcohol,,WOMEN,Ages 35-50,2010
ALC 30-DAY,64.16,30 Day,Alcohol,,WOMEN,Ages 35-50,2011
ALC 30-DAY,66.01,30 Day,Alcohol,,WOMEN,Ages 35-50,2012
ALC 30-DAY,62.99,30 Day,Alcohol,,WOMEN,Ages 35-50,2013
ALC 30-DAY,63.83,30 Day,Alcohol,,WOMEN,Ages 35-50,2014
ALC 30-DAY,64.5,30 Day,Alcohol,,WOMEN,Ages 35-50,2015
ALC 30-DAY,65.5,30 Day,Alcohol,,WOMEN,Ages 35-50,2016
ALC 30-DAY,67.55,30 Day,Alcohol,,WOMEN,Ages 35-50,2017
ALC 30-DAY,66.6,30 Day,Alcohol,,WOMEN,Ages 35-50,2018
ALC 30-DAY,67.9,30 Day,Alcohol,,WOMEN,Ages 35-50,2019
ALC 30-DAY,66.8,30 Day,Alcohol,,WOMEN,Ages 35-50,2020
ALC 30-DAY,68.5,30 Day,Alcohol,,WOMEN,Ages 35-50,2021
ALC 30-DAY,68.8,30 Day,Alcohol,,WOMEN,Ages 35-50,2022
ALC 30-DAY,64.2,30 Day,Alcohol,,WOMEN,Ages 35-50,2023
ALC 5+ DRKS,18.12,5+ Drinks,Alcohol,BLACK,,Ages 19-30,1988
ALC 5+ DRKS,20.59,5+ Drinks,Alcohol,BLACK,,Ages 19-30,1989
ALC 5+ DRKS,19,5+ Drinks,Alcohol,BLACK,,Ages 19-30,1990
ALC 5+ DRKS,19.53,5+ Drinks,Alcohol,BLACK,,Ages 19-30,1991
ALC 5+ DRKS,16.11,5+ Drinks,Alcohol,BLACK,,Ages 19-30,1992
ALC 5+ DRKS,18.43,5+ Drinks,Alcohol,BLACK,,Ages 19-30,1993
ALC 5+ DRKS,20.55,5+ Drinks,Alcohol,BLACK,,Ages 19-30,1994
ALC 5+ DRKS,17.09,5+ Drinks,Alcohol,BLACK,,Ages 19-30,1995
ALC 5+ DRKS,18.68,5+ Drinks,Alcohol,BLACK,,Ages 19-30,1996
ALC 5+ DRKS,14.04,5+ Drinks,Alcohol,BLACK,,Ages 19-30,1997
ALC 5+ DRKS,18.09,5+ Drinks,Alcohol,BLACK,,Ages 19-30,1998
ALC 5+ DRKS,14.98,5+ Drinks,Alcohol,BLACK,,Ages 19-30,1999
ALC 5+ DRKS,18.63,5+ Drinks,Alcohol,BLACK,,Ages 19-30,2000
ALC 5+ DRKS,17.47,5+ Drinks,Alcohol,BLACK,,Ages 19-30,2001
ALC 5+ DRKS,18.8,5+ Drinks,Alcohol,BLACK,,Ages 19-30,2002
ALC 5+ DRKS,12.31,5+ Drinks,Alcohol,BLACK,,Ages 19-30,2003
ALC 5+ DRKS,16.87,5+ Drinks,Alcohol,BLACK,,Ages 19-30,2004
ALC 5+ DRKS,14.74,5+ Drinks,Alcohol,BLACK,,Ages 19-30,2005
ALC 5+ DRKS,14.6,5+ Drinks,Alcohol,BLACK,,Ages 19-30,2006
ALC 5+ DRKS,15.38,5+ Drinks,Alcohol,BLACK,,Ages 19-30,2007
ALC 5+ DRKS,21.15,5+ Drinks,Alcohol,BLACK,,Ages 19-30,2008
ALC 5+ DRKS,20.04,5+ Drinks,Alcohol,BLACK,,Ages 19-30,2009
ALC 5+ DRKS,17.99,5+ Drinks,Alcohol,BLACK,,Ages 19-30,2010
ALC 5+ DRKS,20.79,5+ Drinks,Alcohol,BLACK,,Ages 19-30,2011
ALC 5+ DRKS,19.82,5+ Drinks,Alcohol,BLACK,,Ages 19-30,2012
ALC 5+ DRKS,22.32,5+ Drinks,Alcohol,BLACK,,Ages 19-30,2013
ALC 5+ DRKS,20.08,5+ Drinks,Alcohol,BLACK,,Ages 19-30,2014
ALC 5+ DRKS,19.82,5+ Drinks,Alcohol,BLACK,,Ages 19-30,2015
ALC 5+ DRKS,20.6,5+ Drinks,Alcohol,BLACK,,Ages 19-30,2016
ALC 5+ DRKS,15.45,5+ Drinks,Alcohol,BLACK,,Ages 19-30,2017
ALC 5+ DRKS,17,5+ Drinks,Alcohol,BLACK,,Ages 19-30,2018
ALC 5+ DRKS,18.7,5+ Drinks,Alcohol,BLACK,,Ages 19-30,2019
ALC 5+ DRKS,20.8,5+ Drinks,Alcohol,BLACK,,Ages 19-30,2020
ALC 5+ DRKS,27.7,5+ Drinks,Alcohol,BLACK,,Ages 19-30,2021
ALC 5+ DRKS,20.2,5+ Drinks,Alcohol,BLACK,,Ages 19-30,2022
ALC 5+ DRKS,20,5+ Drinks,Alcohol,BLACK,,Ages 19-30,2023
ALC 5+ DRKS,29.28,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,1988
ALC 5+ DRKS,29.69,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,1989
ALC 5+ DRKS,25.59,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,1990
ALC 5+ DRKS,29.28,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,1991
ALC 5+ DRKS,27.85,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,1992
ALC 5+ DRKS,31.95,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,1993
ALC 5+ DRKS,31.28,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,1994
ALC 5+ DRKS,27.29,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,1995
ALC 5+ DRKS,29.34,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,1996
ALC 5+ DRKS,32.78,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,1997
ALC 5+ DRKS,31.37,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,1998
ALC 5+ DRKS,34.51,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,1999
ALC 5+ DRKS,31.95,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,2000
ALC 5+ DRKS,34.17,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,2001
ALC 5+ DRKS,32.51,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,2002
ALC 5+ DRKS,29.76,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,2003
ALC 5+ DRKS,32.81,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,2004
ALC 5+ DRKS,34.4,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,2005
ALC 5+ DRKS,31.58,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,2006
ALC 5+ DRKS,30.52,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,2007
ALC 5+ DRKS,35.37,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,2008
ALC 5+ DRKS,33.94,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,2009
ALC 5+ DRKS,32.01,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,2010
ALC 5+ DRKS,31.7,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,2011
ALC 5+ DRKS,35.01,5+ Drinks,Alcohol,HISPANIC,,Ages 19-30,2012
