"drug","age","time","_NAME_","_2009","_2010","_2011","_2012","_2013","_2014","_2015","_2016","_2017","_2018","_2019","_2020","_2021","_2022","_1993","_1994","_1995","_1996","_1997","_1998","_1999","_2000","_2001","_2002","_2003","_2004","_2005","_2006","_2007","_2008","_1977","_1978","_1979","_1980","_1981","_1982","_1983","_1984","_1985","_1986","_1987","_1988","_1989","_1990","_1991","_1992"
"Alcohol","Ages 21-22","10+ Drinks","estimate",16.5443,13.9161,12.4913,15.7805,11.9182,10.3431,15.3161,11.5021,15.2303,8.4900,11.6617,9.7743,10.230,6.979,".",".",".",".",".",".",".",".",".",".",".",".",12.5761,15.5064,19.7810,12.5272,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Ages 21-22","12 Month","estimate",84.7100,82.2540,81.0154,80.3650,82.7888,82.3878,83.2340,86.3439,83.4591,83.2186,81.8634,81.9246,80.600,82.458,85.544,85.1645,85.1444,83.7923,84.0741,85.4820,84.7097,85.4701,86.9265,84.7741,84.0832,85.7147,84.7268,83.5946,87.1548,87.4937,".",".",90.2939,90.6925,91.7794,91.5164,92.4385,90.0716,90.4138,90.5044,91.3819,89.1927,89.6824,89.8368,88.7809,88.0478
"Alcohol","Ages 21-22","15+ Drinks","estimate",8.8470,5.9230,6.1580,8.3510,3.2622,4.8905,4.7348,3.9132,8.9016,5.9718,1.5701,5.3092,1.976,2.398,".",".",".",".",".",".",".",".",".",".",".",".",7.0425,9.4837,7.0301,5.1902,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Ages 21-22","30 Day","estimate",71.8061,69.7910,67.7967,67.9698,69.8032,68.0765,67.9322,70.9746,71.2233,65.5906,68.2516,63.4451,63.226,65.165,70.106,71.3233,68.7055,68.2824,67.3927,67.9582,68.5956,69.4295,70.8670,70.0200,67.8827,70.8616,69.9912,69.7448,73.0320,72.5113,".",".",77.8373,79.3291,80.7921,79.7307,79.7405,79.1732,76.6320,77.3525,78.3313,75.6423,74.6412,74.3152,73.9065,72.0259
"Alcohol","Ages 21-22","4+ Drinks","estimate",48.1325,47.2821,38.5873,42.2303,37.4665,36.3980,40.1368,40.3673,44.3519,37.0540,38.9414,35.1259,41.691,39.875,".",".",".",".",".",".",".",".",".",".",".",".",46.8111,39.5053,47.9676,39.7486,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Ages 21-22","5+ Drinks","estimate",40.4441,38.0404,38.3986,37.5044,39.0842,34.9129,33.9711,37.8661,38.9851,32.7424,34.3145,30.3017,31.320,28.563,39.868,41.9415,37.7836,38.0192,38.5085,39.4258,40.2202,40.9489,41.3347,39.2580,38.7247,39.9085,39.1628,42.4752,45.8117,41.9752,".",".",43.6002,41.6100,43.8581,41.8279,43.0877,41.8864,41.1204,40.6938,42.4451,41.6588,40.9284,37.7024,39.3629,39.2482
"Alcohol","Ages 21-22","Daily","estimate",5.9370,5.3761,6.0282,4.8052,4.5505,4.4113,3.6675,6.1724,5.9911,4.0837,4.7023,2.8220,4.194,1.989,4.811,4.2355,3.5417,4.9801,4.3784,5.7100,6.1516,5.8885,5.9957,5.4264,6.0451,6.3512,6.8630,6.2326,6.9679,5.4921,".",".",9.9266,8.5833,7.8879,8.1309,8.2626,8.3121,6.8715,6.5532,7.1789,7.4654,5.1809,4.9380,5.0235,4.4650
"Alcohol","Ages 21-22","Lifetime","estimate",87.6276,86.0702,85.4171,82.3867,85.5141,85.9020,86.8480,88.1426,86.0185,85.4267,85.0666,84.6158,84.998,87.562,91.334,92.3005,90.5238,90.5615,90.0166,91.1672,89.4732,90.3175,90.4947,89.5936,88.7276,89.5506,88.8710,87.3034,89.9301,90.6928,".",".",95.7080,94.2475,95.7491,96.0868,95.8049,95.3450,95.3155,95.3581,95.5644,94.5814,94.5995,95.0613,94.2695,94.4377
"Alcohol","Ages 23-24","10+ Drinks","estimate",15.2125,14.1393,11.8702,13.7684,8.6569,9.5819,10.1959,8.5092,11.3927,10.8644,11.9345,8.3422,11.684,11.892,".",".",".",".",".",".",".",".",".",".",".",".",11.2366,11.4131,15.2413,16.3084,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Ages 23-24","12 Month","estimate",87.5956,88.5747,87.7212,84.2418,83.7534,83.6797,84.6410,84.9177,86.9373,88.6458,85.3000,84.3438,84.759,84.480,87.041,86.3979,87.2229,86.1736,84.9841,84.8631,84.4602,86.4365,85.7460,87.5485,87.2914,85.8209,86.4800,87.5994,87.8968,85.9152,".",".",".",".",90.8022,90.7797,91.3599,90.4063,92.0173,88.9737,90.5038,89.6399,89.2665,87.8257,88.3760,89.0978
"Alcohol","Ages 23-24","15+ Drinks","estimate",7.4028,5.5849,6.0695,6.4931,4.3757,2.1489,6.1022,1.3713,5.2502,3.6090,0.8519,7.9353,4.674,1.898,".",".",".",".",".",".",".",".",".",".",".",".",5.3150,4.5726,10.1979,8.0478,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Ages 23-24","30 Day","estimate",77.4806,72.8454,73.5769,71.1793,71.3126,68.6659,71.6934,72.9621,72.1093,72.8240,71.9482,66.1497,70.428,70.228,72.149,69.4911,71.3717,69.6747,67.8073,69.8888,69.1759,69.9623,70.0432,70.7856,71.2238,71.8402,69.2634,72.6598,73.3024,73.2532,".",".",".",".",79.0609,79.0763,78.5537,77.6764,80.2547,76.7376,75.4668,75.4080,73.3222,73.3314,73.0107,72.5569
"Alcohol","Ages 23-24","4+ Drinks","estimate",42.9959,41.6655,50.9456,42.1380,39.0309,41.8284,38.7305,29.5234,36.0259,35.7983,35.8985,30.1557,44.959,35.654,".",".",".",".",".",".",".",".",".",".",".",".",51.2964,43.8961,50.6237,47.8196,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Ages 23-24","5+ Drinks","estimate",42.8925,39.8444,39.0944,38.5880,36.8647,33.8367,35.9552,33.4477,29.7851,35.0456,33.8067,30.5992,34.765,29.421,34.665,33.0219,34.5839,37.8114,32.8662,35.7137,37.5346,36.9620,39.4747,39.0294,38.5809,39.9679,39.0011,43.1519,40.8009,44.1056,".",".",".",".",42.5941,38.1581,40.0206,35.9573,38.3510,36.3139,37.6186,36.8160,36.5897,36.2775,35.7900,34.8089
"Alcohol","Ages 23-24","Daily","estimate",7.1532,4.8492,5.0449,6.9758,4.9654,4.7354,5.0922,3.9163,7.0391,5.4108,3.8325,5.3296,4.626,5.906,4.820,4.2344,4.2736,6.1254,4.2638,3.9684,4.9443,4.2244,4.5874,5.3458,6.7148,5.6555,5.7924,5.9941,6.8180,6.4516,".",".",".",".",8.7913,8.5046,8.7622,7.3688,7.3854,6.6867,6.3643,6.5701,5.7591,5.8680,5.6513,4.6467
"Alcohol","Ages 23-24","Lifetime","estimate",91.8245,92.3425,90.9203,89.1397,88.3035,86.7347,88.2872,88.1715,89.4736,91.2547,89.2437,89.5827,89.114,93.037,94.142,92.7020,93.2236,92.9673,91.5769,91.5400,91.0427,92.4397,90.4593,92.6960,92.7369,89.8209,90.7229,91.8661,92.1825,90.5743,".",".",".",".",96.5533,95.2663,95.6273,95.7948,96.6283,95.8005,95.7305,95.2055,95.4998,95.6799,94.5049,95.9046
"Alcohol","Ages 25-26","10+ Drinks","estimate",14.4787,15.2143,13.6831,8.0134,14.1213,10.4389,10.7768,9.3556,11.0650,11.6816,10.4297,10.9497,12.294,8.739,".",".",".",".",".",".",".",".",".",".",".",".",14.7093,10.2775,9.3295,13.1261,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Ages 25-26","12 Month","estimate",88.6084,85.2585,89.9056,88.5691,87.1577,84.4635,83.6418,82.9712,82.3692,86.3667,85.5412,88.0088,86.638,86.451,88.428,86.0294,85.8922,85.5299,86.0237,84.6083,84.4099,83.9051,85.7095,87.4517,85.2794,86.4113,84.9470,84.6927,84.7724,84.6029,".",".",".",".",".",".",88.5644,89.1794,90.2667,88.6056,90.3822,90.3130,88.4093,87.9086,88.3698,86.3743
"Alcohol","Ages 25-26","15+ Drinks","estimate",3.3637,6.6778,3.1711,1.9341,7.3108,2.1991,1.2659,3.6763,2.0789,5.2731,3.7153,3.9057,3.216,1.869,".",".",".",".",".",".",".",".",".",".",".",".",6.8327,3.2448,3.5329,3.6330,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
