drug,time,grade,year,estimate,LBYear1,LBYear2
ADHD Either Type,Current,8th Grade,2020,2.7,,
ADHD Either Type,Current,8th Grade,2021,5.5,,
ADHD Either Type,Current,8th Grade,2022,5.4,,
ADHD Either Type,Current,8th Grade,2023,3.9,,
ADHD Either Type,Current,8th Grade,2024,4.7,,
ADHD Either Type,Lifetime,10th Grade,2005,14.3,,
ADHD Either Type,Lifetime,10th Grade,2006,14.2,,
ADHD Either Type,Lifetime,10th Grade,2007,12.9,,
ADHD Either Type,Lifetime,10th Grade,2008,12.8,,
ADHD Either Type,Lifetime,10th Grade,2009,13,,
ADHD Either Type,Lifetime,10th Grade,2010,12.7,,
ADHD Either Type,Lifetime,10th Grade,2011,12,,
ADHD Either Type,Lifetime,10th Grade,2012,12,,
ADHD Either Type,Lifetime,10th Grade,2013,11.7,,
ADHD Either Type,Lifetime,10th Grade,2014,11.3,,
ADHD Either Type,Lifetime,10th Grade,2015,13.1,,
ADHD Either Type,Lifetime,10th Grade,2016,11.5,,
ADHD Either Type,Lifetime,10th Grade,2017,10.1,,
ADHD Either Type,Lifetime,10th Grade,2018,12.1,,
ADHD Either Type,Lifetime,10th Grade,2019,9.8,,
ADHD Either Type,Lifetime,10th Grade,2020,9.3,,
ADHD Either Type,Lifetime,10th Grade,2021,9,,
ADHD Either Type,Lifetime,10th Grade,2022,10.6,,
ADHD Either Type,Lifetime,10th Grade,2023,10.6,,
ADHD Either Type,Lifetime,10th Grade,2024,9.6,,
ADHD Either Type,Lifetime,12th Grade,2005,12.4,,
ADHD Either Type,Lifetime,12th Grade,2006,11.7,,
ADHD Either Type,Lifetime,12th Grade,2007,12.1,,
ADHD Either Type,Lifetime,12th Grade,2008,13.1,,
ADHD Either Type,Lifetime,12th Grade,2009,11,,
ADHD Either Type,Lifetime,12th Grade,2010,12.7,,
ADHD Either Type,Lifetime,12th Grade,2011,12.2,,
ADHD Either Type,Lifetime,12th Grade,2012,12.7,,
ADHD Either Type,Lifetime,12th Grade,2013,13.2,,
ADHD Either Type,Lifetime,12th Grade,2014,12.6,,
ADHD Either Type,Lifetime,12th Grade,2015,13.7,,
ADHD Either Type,Lifetime,12th Grade,2016,12.7,,
ADHD Either Type,Lifetime,12th Grade,2017,13,,
ADHD Either Type,Lifetime,12th Grade,2018,12.7,,
ADHD Either Type,Lifetime,12th Grade,2019,11.1,,
ADHD Either Type,Lifetime,12th Grade,2020,9.9,,
ADHD Either Type,Lifetime,12th Grade,2021,10.9,,
ADHD Either Type,Lifetime,12th Grade,2022,14.6,,
ADHD Either Type,Lifetime,12th Grade,2023,14.3,,
ADHD Either Type,Lifetime,12th Grade,2024,12.3,,
ADHD Either Type,Lifetime,8th Grade,2005,13.7,,
ADHD Either Type,Lifetime,8th Grade,2006,15.8,,
ADHD Either Type,Lifetime,8th Grade,2007,13.4,,
ADHD Either Type,Lifetime,8th Grade,2008,13.1,,
ADHD Either Type,Lifetime,8th Grade,2009,12.8,,
ADHD Either Type,Lifetime,8th Grade,2010,12.8,,
ADHD Either Type,Lifetime,8th Grade,2011,12.4,,
ADHD Either Type,Lifetime,8th Grade,2012,11.6,,
ADHD Either Type,Lifetime,8th Grade,2013,11.5,,
ADHD Either Type,Lifetime,8th Grade,2014,11.2,,
ADHD Either Type,Lifetime,8th Grade,2015,11.4,,
ADHD Either Type,Lifetime,8th Grade,2016,12.1,,
ADHD Either Type,Lifetime,8th Grade,2017,10.9,,
ADHD Either Type,Lifetime,8th Grade,2018,11,,
ADHD Either Type,Lifetime,8th Grade,2019,9.8,,
ADHD Either Type,Lifetime,8th Grade,2020,7.3,,
ADHD Either Type,Lifetime,8th Grade,2021,11.5,,
ADHD Either Type,Lifetime,8th Grade,2022,12,,
ADHD Either Type,Lifetime,8th Grade,2023,10,,
ADHD Either Type,Lifetime,8th Grade,2024,8.7,,
ADHD Non-Stimulant,Current,10th Grade,2005,2.3,,
ADHD Non-Stimulant,Current,10th Grade,2006,2.3,,
ADHD Non-Stimulant,Current,10th Grade,2007,1.6,,
ADHD Non-Stimulant,Current,10th Grade,2008,1.7,,
ADHD Non-Stimulant,Current,10th Grade,2009,1.9,,
ADHD Non-Stimulant,Current,10th Grade,2010,1.6,,
ADHD Non-Stimulant,Current,10th Grade,2011,1.3,,
ADHD Non-Stimulant,Current,10th Grade,2012,1.3,,
ADHD Non-Stimulant,Current,10th Grade,2013,1.3,,
ADHD Non-Stimulant,Current,10th Grade,2014,1.4,,
ADHD Non-Stimulant,Current,10th Grade,2015,1.7,,
ADHD Non-Stimulant,Current,10th Grade,2016,1.2,,
ADHD Non-Stimulant,Current,10th Grade,2017,1,,
ADHD Non-Stimulant,Current,10th Grade,2018,1.4,,
ADHD Non-Stimulant,Current,10th Grade,2019,1.8,,
ADHD Non-Stimulant,Current,10th Grade,2020,1.8,,
ADHD Non-Stimulant,Current,10th Grade,2021,1.5,,
ADHD Non-Stimulant,Current,10th Grade,2022,1.3,,
ADHD Non-Stimulant,Current,10th Grade,2023,1.4,,
ADHD Non-Stimulant,Current,10th Grade,2024,1.3,,
ADHD Non-Stimulant,Current,12th Grade,2005,1.6,,
ADHD Non-Stimulant,Current,12th Grade,2006,1.6,,
ADHD Non-Stimulant,Current,12th Grade,2007,1.7,,
ADHD Non-Stimulant,Current,12th Grade,2008,1.9,,
ADHD Non-Stimulant,Current,12th Grade,2009,1.5,,
ADHD Non-Stimulant,Current,12th Grade,2010,2.3,,
ADHD Non-Stimulant,Current,12th Grade,2011,1.9,,
ADHD Non-Stimulant,Current,12th Grade,2012,1.8,,
ADHD Non-Stimulant,Current,12th Grade,2013,1.8,,
ADHD Non-Stimulant,Current,12th Grade,2014,2.2,,
ADHD Non-Stimulant,Current,12th Grade,2015,1.5,,
ADHD Non-Stimulant,Current,12th Grade,2016,2.1,,
ADHD Non-Stimulant,Current,12th Grade,2017,2.5,,
ADHD Non-Stimulant,Current,12th Grade,2018,2.6,,
ADHD Non-Stimulant,Current,12th Grade,2019,2.3,,
ADHD Non-Stimulant,Current,12th Grade,2020,1.7,,
ADHD Non-Stimulant,Current,12th Grade,2021,2.3,,
ADHD Non-Stimulant,Current,12th Grade,2022,3.5,,
ADHD Non-Stimulant,Current,12th Grade,2023,2,,
ADHD Non-Stimulant,Current,12th Grade,2024,2.2,,
ADHD Non-Stimulant,Current,8th Grade,2005,2.2,,
ADHD Non-Stimulant,Current,8th Grade,2006,1.9,,
ADHD Non-Stimulant,Current,8th Grade,2007,1.4,,
ADHD Non-Stimulant,Current,8th Grade,2008,1.6,,
ADHD Non-Stimulant,Current,8th Grade,2009,1.2,,
ADHD Non-Stimulant,Current,8th Grade,2010,1.4,,
ADHD Non-Stimulant,Current,8th Grade,2011,1.5,,
ADHD Non-Stimulant,Current,8th Grade,2012,1.2,,
ADHD Non-Stimulant,Current,8th Grade,2013,1.4,,
ADHD Non-Stimulant,Current,8th Grade,2014,1.2,,
ADHD Non-Stimulant,Current,8th Grade,2015,1.2,,
ADHD Non-Stimulant,Current,8th Grade,2016,2,,
ADHD Non-Stimulant,Current,8th Grade,2017,1.1,,
ADHD Non-Stimulant,Current,8th Grade,2018,1.2,,
ADHD Non-Stimulant,Current,8th Grade,2019,1.4,,
ADHD Non-Stimulant,Current,8th Grade,2020,1.4,,
ADHD Non-Stimulant,Current,8th Grade,2021,0.9,,
ADHD Non-Stimulant,Current,8th Grade,2022,1.3,,
ADHD Non-Stimulant,Current,8th Grade,2023,0.7,,
ADHD Non-Stimulant,Current,8th Grade,2024,0.6,,
ADHD Non-Stimulant,Lifetime,10th Grade,2005,8.3,,
ADHD Non-Stimulant,Lifetime,10th Grade,2006,8.3,,
ADHD Non-Stimulant,Lifetime,10th Grade,2007,6.7,,
ADHD Non-Stimulant,Lifetime,10th Grade,2008,6.8,,
ADHD Non-Stimulant,Lifetime,10th Grade,2009,6.8,,
ADHD Non-Stimulant,Lifetime,10th Grade,2010,6.1,,
ADHD Non-Stimulant,Lifetime,10th Grade,2011,6.4,,
ADHD Non-Stimulant,Lifetime,10th Grade,2012,5.2,,
ADHD Non-Stimulant,Lifetime,10th Grade,2013,4.9,,
ADHD Non-Stimulant,Lifetime,10th Grade,2014,5.8,,
ADHD Non-Stimulant,Lifetime,10th Grade,2015,5.8,,
ADHD Non-Stimulant,Lifetime,10th Grade,2016,5.2,,
ADHD Non-Stimulant,Lifetime,10th Grade,2017,4.6,,
ADHD Non-Stimulant,Lifetime,10th Grade,2018,5.1,,
ADHD Non-Stimulant,Lifetime,10th Grade,2019,5.2,,
ADHD Non-Stimulant,Lifetime,10th Grade,2020,5.1,,
ADHD Non-Stimulant,Lifetime,10th Grade,2021,3,,
ADHD Non-Stimulant,Lifetime,10th Grade,2022,3.4,,
ADHD Non-Stimulant,Lifetime,10th Grade,2023,2.8,,
ADHD Non-Stimulant,Lifetime,10th Grade,2024,3.2,,
ADHD Non-Stimulant,Lifetime,12th Grade,2005,6.2,,
ADHD Non-Stimulant,Lifetime,12th Grade,2006,6.1,,
ADHD Non-Stimulant,Lifetime,12th Grade,2007,7,,
ADHD Non-Stimulant,Lifetime,12th Grade,2008,6.4,,
ADHD Non-Stimulant,Lifetime,12th Grade,2009,5.4,,
ADHD Non-Stimulant,Lifetime,12th Grade,2010,6.7,,
ADHD Non-Stimulant,Lifetime,12th Grade,2011,5.8,,
ADHD Non-Stimulant,Lifetime,12th Grade,2012,5.9,,
ADHD Non-Stimulant,Lifetime,12th Grade,2013,5.4,,
ADHD Non-Stimulant,Lifetime,12th Grade,2014,5.6,,
ADHD Non-Stimulant,Lifetime,12th Grade,2015,5.6,,
ADHD Non-Stimulant,Lifetime,12th Grade,2016,5.8,,
ADHD Non-Stimulant,Lifetime,12th Grade,2017,6.4,,
ADHD Non-Stimulant,Lifetime,12th Grade,2018,6.1,,
ADHD Non-Stimulant,Lifetime,12th Grade,2019,5.7,,
ADHD Non-Stimulant,Lifetime,12th Grade,2020,4.8,,
ADHD Non-Stimulant,Lifetime,12th Grade,2021,4.5,,
ADHD Non-Stimulant,Lifetime,12th Grade,2022,5.8,,
ADHD Non-Stimulant,Lifetime,12th Grade,2023,5.4,,
ADHD Non-Stimulant,Lifetime,12th Grade,2024,4.4,,
ADHD Non-Stimulant,Lifetime,8th Grade,2005,7.3,,
ADHD Non-Stimulant,Lifetime,8th Grade,2006,7.9,,
ADHD Non-Stimulant,Lifetime,8th Grade,2007,6.3,,
ADHD Non-Stimulant,Lifetime,8th Grade,2008,6.3,,
ADHD Non-Stimulant,Lifetime,8th Grade,2009,5.8,,
ADHD Non-Stimulant,Lifetime,8th Grade,2010,5.8,,
ADHD Non-Stimulant,Lifetime,8th Grade,2011,6.1,,
ADHD Non-Stimulant,Lifetime,8th Grade,2012,5.1,,
ADHD Non-Stimulant,Lifetime,8th Grade,2013,5.1,,
ADHD Non-Stimulant,Lifetime,8th Grade,2014,4.8,,
ADHD Non-Stimulant,Lifetime,8th Grade,2015,5.1,,
ADHD Non-Stimulant,Lifetime,8th Grade,2016,5.7,,
ADHD Non-Stimulant,Lifetime,8th Grade,2017,4.9,,
ADHD Non-Stimulant,Lifetime,8th Grade,2018,4.4,,
ADHD Non-Stimulant,Lifetime,8th Grade,2019,4.5,,
ADHD Non-Stimulant,Lifetime,8th Grade,2020,4.2,,
ADHD Non-Stimulant,Lifetime,8th Grade,2021,2.8,,
ADHD Non-Stimulant,Lifetime,8th Grade,2022,3.5,,
ADHD Non-Stimulant,Lifetime,8th Grade,2023,2.8,,
ADHD Non-Stimulant,Lifetime,8th Grade,2024,2,,
ADHD Stimulant,Current,10th Grade,2005,3.4,,
ADHD Stimulant,Current,10th Grade,2006,2.8,,
ADHD Stimulant,Current,10th Grade,2007,2.8,,
ADHD Stimulant,Current,10th Grade,2008,2.9,,
ADHD Stimulant,Current,10th Grade,2009,3.3,,
ADHD Stimulant,Current,10th Grade,2010,3.1,,
ADHD Stimulant,Current,10th Grade,2011,2.8,,
ADHD Stimulant,Current,10th Grade,2012,3.8,,
ADHD Stimulant,Current,10th Grade,2013,3.7,,
ADHD Stimulant,Current,10th Grade,2014,3.4,,
ADHD Stimulant,Current,10th Grade,2015,4.2,,
ADHD Stimulant,Current,10th Grade,2016,3,,
ADHD Stimulant,Current,10th Grade,2017,3,,
ADHD Stimulant,Current,10th Grade,2018,3.9,,
ADHD Stimulant,Current,10th Grade,2019,2.9,,
ADHD Stimulant,Current,10th Grade,2020,2.5,,
ADHD Stimulant,Current,10th Grade,2021,3.6,,
ADHD Stimulant,Current,10th Grade,2022,4.3,,
ADHD Stimulant,Current,10th Grade,2023,3.7,,
ADHD Stimulant,Current,10th Grade,2024,3.1,,
ADHD Stimulant,Current,12th Grade,2005,2.9,,
ADHD Stimulant,Current,12th Grade,2006,2.3,,
ADHD Stimulant,Current,12th Grade,2007,2.6,,
ADHD Stimulant,Current,12th Grade,2008,2.9,,
ADHD Stimulant,Current,12th Grade,2009,2.9,,
ADHD Stimulant,Current,12th Grade,2010,3,,
ADHD Stimulant,Current,12th Grade,2011,3.3,,
ADHD Stimulant,Current,12th Grade,2012,3.8,,
ADHD Stimulant,Current,12th Grade,2013,4.4,,
ADHD Stimulant,Current,12th Grade,2014,3.8,,
ADHD Stimulant,Current,12th Grade,2015,4,,
ADHD Stimulant,Current,12th Grade,2016,3.9,,
ADHD Stimulant,Current,12th Grade,2017,3.4,,
ADHD Stimulant,Current,12th Grade,2018,3.5,,
ADHD Stimulant,Current,12th Grade,2019,3.2,,
ADHD Stimulant,Current,12th Grade,2020,3.1,,
ADHD Stimulant,Current,12th Grade,2021,3.4,,
ADHD Stimulant,Current,12th Grade,2022,5.6,,
ADHD Stimulant,Current,12th Grade,2023,4.7,,
ADHD Stimulant,Current,12th Grade,2024,3.8,,
ADHD Stimulant,Current,8th Grade,2005,3.9,,
ADHD Stimulant,Current,8th Grade,2006,3.5,,
ADHD Stimulant,Current,8th Grade,2007,3.1,,
ADHD Stimulant,Current,8th Grade,2008,3.5,,
ADHD Stimulant,Current,8th Grade,2009,3.7,,
ADHD Stimulant,Current,8th Grade,2010,3.4,,
ADHD Stimulant,Current,8th Grade,2011,3.3,,
ADHD Stimulant,Current,8th Grade,2012,3.5,,
ADHD Stimulant,Current,8th Grade,2013,3.4,,
ADHD Stimulant,Current,8th Grade,2014,3.2,,
ADHD Stimulant,Current,8th Grade,2015,3.6,,
ADHD Stimulant,Current,8th Grade,2016,3.7,,
ADHD Stimulant,Current,8th Grade,2017,3.4,,
ADHD Stimulant,Current,8th Grade,2018,3.7,,
ADHD Stimulant,Current,8th Grade,2019,2.8,,
ADHD Stimulant,Current,8th Grade,2020,2,,
ADHD Stimulant,Current,8th Grade,2021,4.2,,
ADHD Stimulant,Current,8th Grade,2022,4.2,,
ADHD Stimulant,Current,8th Grade,2023,2.9,,
ADHD Stimulant,Current,8th Grade,2024,3.8,,
ADHD Stimulant,Lifetime,10th Grade,2005,8.7,,
ADHD Stimulant,Lifetime,10th Grade,2006,8.5,,
ADHD Stimulant,Lifetime,10th Grade,2007,8.4,,
ADHD Stimulant,Lifetime,10th Grade,2008,7.8,,
ADHD Stimulant,Lifetime,10th Grade,2009,8.2,,
ADHD Stimulant,Lifetime,10th Grade,2010,8.6,,
ADHD Stimulant,Lifetime,10th Grade,2011,7.2,,
ADHD Stimulant,Lifetime,10th Grade,2012,8,,
ADHD Stimulant,Lifetime,10th Grade,2013,8.3,,
ADHD Stimulant,Lifetime,10th Grade,2014,6.8,,
ADHD Stimulant,Lifetime,10th Grade,2015,8.8,,
ADHD Stimulant,Lifetime,10th Grade,2016,7.1,,
ADHD Stimulant,Lifetime,10th Grade,2017,6.5,,
ADHD Stimulant,Lifetime,10th Grade,2018,8.2,,
ADHD Stimulant,Lifetime,10th Grade,2019,6.6,,
ADHD Stimulant,Lifetime,10th Grade,2020,6,,
ADHD Stimulant,Lifetime,10th Grade,2021,7,,
ADHD Stimulant,Lifetime,10th Grade,2022,8.5,,
ADHD Stimulant,Lifetime,10th Grade,2023,8.3,,
ADHD Stimulant,Lifetime,10th Grade,2024,7.4,,
ADHD Stimulant,Lifetime,12th Grade,2005,8.5,,
ADHD Stimulant,Lifetime,12th Grade,2006,7.8,,
ADHD Stimulant,Lifetime,12th Grade,2007,7.6,,
ADHD Stimulant,Lifetime,12th Grade,2008,8.6,,
ADHD Stimulant,Lifetime,12th Grade,2009,8.2,,
ADHD Stimulant,Lifetime,12th Grade,2010,8.3,,
ADHD Stimulant,Lifetime,12th Grade,2011,8.4,,
ADHD Stimulant,Lifetime,12th Grade,2012,9,,
ADHD Stimulant,Lifetime,12th Grade,2013,9.6,,
ADHD Stimulant,Lifetime,12th Grade,2014,9.1,,
ADHD Stimulant,Lifetime,12th Grade,2015,9.9,,
ADHD Stimulant,Lifetime,12th Grade,2016,8.4,,
ADHD Stimulant,Lifetime,12th Grade,2017,8.6,,
ADHD Stimulant,Lifetime,12th Grade,2018,8.6,,
ADHD Stimulant,Lifetime,12th Grade,2019,7.9,,
ADHD Stimulant,Lifetime,12th Grade,2020,7.5,,
ADHD Stimulant,Lifetime,12th Grade,2021,8,,
ADHD Stimulant,Lifetime,12th Grade,2022,11.2,,
ADHD Stimulant,Lifetime,12th Grade,2023,11,,
ADHD Stimulant,Lifetime,12th Grade,2024,9.6,,
ADHD Stimulant,Lifetime,8th Grade,2005,8.3,,
ADHD Stimulant,Lifetime,8th Grade,2006,9.3,,
ADHD Stimulant,Lifetime,8th Grade,2007,8.3,,
ADHD Stimulant,Lifetime,8th Grade,2008,8.1,,
ADHD Stimulant,Lifetime,8th Grade,2009,7.8,,
ADHD Stimulant,Lifetime,8th Grade,2010,8.2,,
ADHD Stimulant,Lifetime,8th Grade,2011,7.6,,
ADHD Stimulant,Lifetime,8th Grade,2012,7.7,,
ADHD Stimulant,Lifetime,8th Grade,2013,7.1,,
ADHD Stimulant,Lifetime,8th Grade,2014,7.2,,
ADHD Stimulant,Lifetime,8th Grade,2015,7.1,,
ADHD Stimulant,Lifetime,8th Grade,2016,7.5,,
ADHD Stimulant,Lifetime,8th Grade,2017,6.6,,
ADHD Stimulant,Lifetime,8th Grade,2018,7.1,,
ADHD Stimulant,Lifetime,8th Grade,2019,6.5,,
ADHD Stimulant,Lifetime,8th Grade,2020,5,,
ADHD Stimulant,Lifetime,8th Grade,2021,9,,
ADHD Stimulant,Lifetime,8th Grade,2022,9.7,,
ADHD Stimulant,Lifetime,8th Grade,2023,7.5,,
ADHD Stimulant,Lifetime,8th Grade,2024,7,,
Abstainers,30 Day,10th Grade,2017,68.9,,
Abstainers,30 Day,10th Grade,2018,65.2,,
Abstainers,30 Day,10th Grade,2019,64.8,,
Abstainers,30 Day,10th Grade,2020,65.4,,
Abstainers,30 Day,10th Grade,2021,77.4,,
Abstainers,30 Day,10th Grade,2022,75.2,,
Abstainers,30 Day,10th Grade,2023,76.9,,
Abstainers,30 Day,10th Grade,2024,80.2,,
Abstainers,30 Day,12th Grade,2017,52.6,,
Abstainers,30 Day,12th Grade,2018,51.8,,
Abstainers,30 Day,12th Grade,2019,53.8,,
Abstainers,30 Day,12th Grade,2020,53.1,,
Abstainers,30 Day,12th Grade,2021,60.1,,
Abstainers,30 Day,12th Grade,2022,58.3,,
Abstainers,30 Day,12th Grade,2023,62.6,,
Abstainers,30 Day,12th Grade,2024,67.1,,
Abstainers,30 Day,8th Grade,2017,87,,
Abstainers,30 Day,8th Grade,2018,84.2,,
Abstainers,30 Day,8th Grade,2019,82.2,,
Abstainers,30 Day,8th Grade,2020,82.7,,
Abstainers,30 Day,8th Grade,2021,86.9,,
Abstainers,30 Day,8th Grade,2022,87.1,,
Abstainers,30 Day,8th Grade,2023,87,,
Abstainers,30 Day,8th Grade,2024,89.5,,
Abstainers,12 Month,10th Grade,2024,66,,
Abstainers,12 Month,12th Grade,2024,50.6,,
Abstainers,12 Month,8th Grade,2024,81,,
Abstainers,Lifetime,10th Grade,2017,44.6,,
Abstainers,Lifetime,10th Grade,2018,42.7,,
Abstainers,Lifetime,10th Grade,2019,41.7,,
Abstainers,Lifetime,10th Grade,2020,40.3,,
Abstainers,Lifetime,10th Grade,2021,55.8,,
Abstainers,Lifetime,10th Grade,2022,48.8,,
Abstainers,Lifetime,10th Grade,2023,54.4,,
Abstainers,Lifetime,10th Grade,2024,57.7,,
Abstainers,Lifetime,12th Grade,2017,26.5,,
Abstainers,Lifetime,12th Grade,2018,26.4,,
Abstainers,Lifetime,12th Grade,2019,29.7,,
Abstainers,Lifetime,12th Grade,2020,29.4,,
Abstainers,Lifetime,12th Grade,2021,35.3,,
Abstainers,Lifetime,12th Grade,2022,31,,
Abstainers,Lifetime,12th Grade,2023,37.5,,
Abstainers,Lifetime,12th Grade,2024,42.1,,
Abstainers,Lifetime,8th Grade,2017,67.9,,
Abstainers,Lifetime,8th Grade,2018,64.9,,
Abstainers,Lifetime,8th Grade,2019,63.1,,
Abstainers,Lifetime,8th Grade,2020,63.9,,
Abstainers,Lifetime,8th Grade,2021,69.9,,
Abstainers,Lifetime,8th Grade,2022,67.1,,
Abstainers,Lifetime,8th Grade,2023,70,,
Abstainers,Lifetime,8th Grade,2024,72.4,,
Adderall,12 Month,10th Grade,2009,5.7,,
Adderall,12 Month,10th Grade,2010,5.3,,
Adderall,12 Month,10th Grade,2011,4.6,,
Adderall,12 Month,10th Grade,2012,4.5,,
Adderall,12 Month,10th Grade,2013,4.4,,
Adderall,12 Month,10th Grade,2014,4.6,,
Adderall,12 Month,10th Grade,2015,5.2,,
Adderall,12 Month,10th Grade,2016,4.2,,
Adderall,12 Month,10th Grade,2017,4,,
Adderall,12 Month,10th Grade,2018,4.1,,
Adderall,12 Month,10th Grade,2019,3.1,,
Adderall,12 Month,10th Grade,2020,2.9,,
Adderall,12 Month,10th Grade,2021,1.6,,
Adderall,12 Month,10th Grade,2022,2.9,,
Adderall,12 Month,10th Grade,2023,2.1,,
Adderall,12 Month,10th Grade,2024,1.9,,
Adderall,12 Month,12th Grade,2009,5.4,,
Adderall,12 Month,12th Grade,2010,6.5,,
Adderall,12 Month,12th Grade,2011,6.5,,
Adderall,12 Month,12th Grade,2012,7.6,,
Adderall,12 Month,12th Grade,2013,7.4,,
Adderall,12 Month,12th Grade,2014,6.8,,
Adderall,12 Month,12th Grade,2015,7.5,,
Adderall,12 Month,12th Grade,2016,6.2,,
Adderall,12 Month,12th Grade,2017,5.5,,
Adderall,12 Month,12th Grade,2018,4.6,,
Adderall,12 Month,12th Grade,2019,3.9,,
Adderall,12 Month,12th Grade,2020,4.4,,
Adderall,12 Month,12th Grade,2021,1.8,,
Adderall,12 Month,12th Grade,2022,3.4,,
Adderall,12 Month,12th Grade,2023,1.7,,
Adderall,12 Month,12th Grade,2024,2.5,,
Adderall,12 Month,8th Grade,2009,2,,
Adderall,12 Month,8th Grade,2010,2.3,,
Adderall,12 Month,8th Grade,2011,1.7,,
Adderall,12 Month,8th Grade,2012,1.7,,
Adderall,12 Month,8th Grade,2013,1.8,,
Adderall,12 Month,8th Grade,2014,1.3,,
Adderall,12 Month,8th Grade,2015,1,,
Adderall,12 Month,8th Grade,2016,1.5,,
Adderall,12 Month,8th Grade,2017,1.3,,
Adderall,12 Month,8th Grade,2018,1.8,,
Adderall,12 Month,8th Grade,2019,2.5,,
Adderall,12 Month,8th Grade,2020,2.7,,
Adderall,12 Month,8th Grade,2021,1.8,,
Adderall,12 Month,8th Grade,2022,2.3,,
Adderall,12 Month,8th Grade,2023,1.7,,
Adderall,12 Month,8th Grade,2024,1.6,,
Alcohol,10+ Drinks,10th Grade,2016,3,1992,
Alcohol,10+ Drinks,10th Grade,2017,3.6,1992,
Alcohol,10+ Drinks,10th Grade,2018,3.3,1992,
Alcohol,10+ Drinks,10th Grade,2019,3.3,1992,
Alcohol,10+ Drinks,10th Grade,2020,2.5,1992,
Alcohol,10+ Drinks,10th Grade,2021,2.1,1992,
Alcohol,10+ Drinks,10th Grade,2022,1.9,1992,
Alcohol,10+ Drinks,10th Grade,2023,2.1,1992,
Alcohol,10+ Drinks,10th Grade,2024,1.6,1992,
Alcohol,10+ Drinks,12th Grade,2005,10.6,1992,
Alcohol,10+ Drinks,12th Grade,2006,12.9,1992,
Alcohol,10+ Drinks,12th Grade,2007,11.1,1992,
Alcohol,10+ Drinks,12th Grade,2008,10.4,1992,
Alcohol,10+ Drinks,12th Grade,2009,10.6,1992,
Alcohol,10+ Drinks,12th Grade,2010,9.9,1992,
Alcohol,10+ Drinks,12th Grade,2011,9.8,1992,
Alcohol,10+ Drinks,12th Grade,2012,10.4,1992,
Alcohol,10+ Drinks,12th Grade,2013,8.1,1992,
Alcohol,10+ Drinks,12th Grade,2014,7.1,1992,
Alcohol,10+ Drinks,12th Grade,2015,6.1,1992,
