grade,time,drug,year,attitude,estimate,LBYear1
10th Grade,Once or Twice,Alcohol,2021,Disapproval,36.708605753,2019
10th Grade,Once or Twice,Alcohol,2022,Disapproval,37.418632813,2019
12th Grade,Once or Twice,Alcohol,1976,Disapproval,18.262999685,2019
12th Grade,Once or Twice,Alcohol,1977,Disapproval,15.597703343,2019
12th Grade,Once or Twice,Alcohol,1978,Disapproval,15.583932559,2019
12th Grade,Once or Twice,Alcohol,1979,Disapproval,15.818191696,2019
12th Grade,Once or Twice,Alcohol,1980,Disapproval,16.014907363,2019
12th Grade,Once or Twice,Alcohol,1981,Disapproval,17.159667791,2019
12th Grade,Once or Twice,Alcohol,1982,Disapproval,18.192109982,2019
12th Grade,Once or Twice,Alcohol,1983,Disapproval,18.385270032,2019
12th Grade,Once or Twice,Alcohol,1984,Disapproval,17.396173241,2019
12th Grade,Once or Twice,Alcohol,1985,Disapproval,20.309179521,2019
12th Grade,Once or Twice,Alcohol,1986,Disapproval,20.931785872,2019
12th Grade,Once or Twice,Alcohol,1987,Disapproval,21.418242712,2019
12th Grade,Once or Twice,Alcohol,1988,Disapproval,22.555270588,2019
12th Grade,Once or Twice,Alcohol,1989,Disapproval,27.312765259,2019
12th Grade,Once or Twice,Alcohol,1990,Disapproval,29.400717353,2019
12th Grade,Once or Twice,Alcohol,1991,Disapproval,29.758224637,2019
12th Grade,Once or Twice,Alcohol,1992,Disapproval,33.009301849,2019
12th Grade,Once or Twice,Alcohol,1993,Disapproval,30.14480223,2019
12th Grade,Once or Twice,Alcohol,1994,Disapproval,28.418593525,2019
12th Grade,Once or Twice,Alcohol,1995,Disapproval,27.276437408,2019
12th Grade,Once or Twice,Alcohol,1996,Disapproval,26.484184359,2019
12th Grade,Once or Twice,Alcohol,1997,Disapproval,26.07638014,2019
12th Grade,Once or Twice,Alcohol,1998,Disapproval,24.486239792,2019
12th Grade,Once or Twice,Alcohol,1999,Disapproval,24.614245408,2019
12th Grade,Once or Twice,Alcohol,2000,Disapproval,25.24847735,2019
12th Grade,Once or Twice,Alcohol,2001,Disapproval,26.604432298,2019
12th Grade,Once or Twice,Alcohol,2002,Disapproval,26.337918833,2019
12th Grade,Once or Twice,Alcohol,2003,Disapproval,27.204383528,2019
12th Grade,Once or Twice,Alcohol,2004,Disapproval,26.003044473,2019
12th Grade,Once or Twice,Alcohol,2005,Disapproval,26.412670628,2019
12th Grade,Once or Twice,Alcohol,2006,Disapproval,28.996066426,2019
12th Grade,Once or Twice,Alcohol,2007,Disapproval,31.030853608,2019
12th Grade,Once or Twice,Alcohol,2008,Disapproval,29.840146339,2019
12th Grade,Once or Twice,Alcohol,2009,Disapproval,30.583882126,2019
12th Grade,Once or Twice,Alcohol,2010,Disapproval,30.705045067,2019
12th Grade,Once or Twice,Alcohol,2011,Disapproval,28.695222127,2019
12th Grade,Once or Twice,Alcohol,2012,Disapproval,25.432688328,2019
12th Grade,Once or Twice,Alcohol,2013,Disapproval,27.255636614,2019
12th Grade,Once or Twice,Alcohol,2014,Disapproval,29.152186215,2019
12th Grade,Once or Twice,Alcohol,2015,Disapproval,28.928540967,2019
12th Grade,Once or Twice,Alcohol,2016,Disapproval,28.765503771,2019
12th Grade,Once or Twice,Alcohol,2017,Disapproval,27.191412319,2019
12th Grade,Once or Twice,Alcohol,2018,Disapproval,31.300825049,2019
12th Grade,Once or Twice,Alcohol,2019,Disapproval,26.25080983,2019
12th Grade,Once or Twice,Alcohol,2021,Disapproval,22.34972475,2019
12th Grade,Once or Twice,Alcohol,2022,Disapproval,26.727214179,2019
8th Grade,One or Two a Day,Alcohol,1991,Disapproval,82.204450085,2019
8th Grade,One or Two a Day,Alcohol,1992,Disapproval,81.018367352,2019
8th Grade,One or Two a Day,Alcohol,1993,Disapproval,79.587957604,2019
8th Grade,One or Two a Day,Alcohol,1994,Disapproval,76.677315393,2019
8th Grade,One or Two a Day,Alcohol,1995,Disapproval,75.900255545,2019
8th Grade,One or Two a Day,Alcohol,1996,Disapproval,74.121379568,2019
8th Grade,One or Two a Day,Alcohol,1997,Disapproval,76.64443056,2019
8th Grade,One or Two a Day,Alcohol,1998,Disapproval,76.934340304,2019
8th Grade,One or Two a Day,Alcohol,1999,Disapproval,76.990707028,2019
8th Grade,One or Two a Day,Alcohol,2000,Disapproval,77.808576859,2019
8th Grade,One or Two a Day,Alcohol,2001,Disapproval,77.445181556,2019
8th Grade,One or Two a Day,Alcohol,2002,Disapproval,78.298565004,2019
8th Grade,One or Two a Day,Alcohol,2003,Disapproval,77.138530632,2019
8th Grade,One or Two a Day,Alcohol,2004,Disapproval,78.606337164,2019
8th Grade,One or Two a Day,Alcohol,2005,Disapproval,78.70197541,2019
8th Grade,One or Two a Day,Alcohol,2006,Disapproval,78.66931033,2019
8th Grade,One or Two a Day,Alcohol,2007,Disapproval,80.397010636,2019
8th Grade,One or Two a Day,Alcohol,2008,Disapproval,79.24746405,2019
8th Grade,One or Two a Day,Alcohol,2009,Disapproval,78.489791739,2019
8th Grade,One or Two a Day,Alcohol,2010,Disapproval,79.502993578,2019
8th Grade,One or Two a Day,Alcohol,2011,Disapproval,80.725628475,2019
8th Grade,One or Two a Day,Alcohol,2012,Disapproval,81.250279232,2019
8th Grade,One or Two a Day,Alcohol,2013,Disapproval,80.198559719,2019
8th Grade,One or Two a Day,Alcohol,2014,Disapproval,79.602219253,2019
8th Grade,One or Two a Day,Alcohol,2015,Disapproval,79.68368348,2019
8th Grade,One or Two a Day,Alcohol,2016,Disapproval,79.147929237,2019
8th Grade,One or Two a Day,Alcohol,2017,Disapproval,79.513536697,2019
8th Grade,One or Two a Day,Alcohol,2018,Disapproval,77.911849733,2019
8th Grade,One or Two a Day,Alcohol,2019,Disapproval,77.315746333,2019
8th Grade,One or Two a Day,Alcohol,2021,Disapproval,75.988799619,2019
8th Grade,One or Two a Day,Alcohol,2022,Disapproval,76.257588903,2019
10th Grade,One or Two a Day,Alcohol,1991,Disapproval,81.666299811,2019
10th Grade,One or Two a Day,Alcohol,1992,Disapproval,81.699563416,2019
10th Grade,One or Two a Day,Alcohol,1993,Disapproval,78.609236533,2019
10th Grade,One or Two a Day,Alcohol,1994,Disapproval,75.186796933,2019
10th Grade,One or Two a Day,Alcohol,1995,Disapproval,75.358556646,2019
10th Grade,One or Two a Day,Alcohol,1996,Disapproval,73.812769908,2019
10th Grade,One or Two a Day,Alcohol,1997,Disapproval,75.416292709,2019
10th Grade,One or Two a Day,Alcohol,1998,Disapproval,74.558582539,2019
10th Grade,One or Two a Day,Alcohol,1999,Disapproval,75.365472284,2019
10th Grade,One or Two a Day,Alcohol,2000,Disapproval,73.747048667,2019
10th Grade,One or Two a Day,Alcohol,2001,Disapproval,73.762931631,2019
10th Grade,One or Two a Day,Alcohol,2002,Disapproval,74.86096486,2019
10th Grade,One or Two a Day,Alcohol,2003,Disapproval,74.171117672,2019
10th Grade,One or Two a Day,Alcohol,2004,Disapproval,75.081680909,2019
10th Grade,One or Two a Day,Alcohol,2005,Disapproval,76.895873907,2019
10th Grade,One or Two a Day,Alcohol,2006,Disapproval,76.412873117,2019
10th Grade,One or Two a Day,Alcohol,2007,Disapproval,77.145420154,2019
10th Grade,One or Two a Day,Alcohol,2008,Disapproval,79.117843021,2019
10th Grade,One or Two a Day,Alcohol,2009,Disapproval,77.593714397,2019
10th Grade,One or Two a Day,Alcohol,2010,Disapproval,77.595587312,2019
10th Grade,One or Two a Day,Alcohol,2011,Disapproval,79.96293117,2019
10th Grade,One or Two a Day,Alcohol,2012,Disapproval,78.004538459,2019
10th Grade,One or Two a Day,Alcohol,2013,Disapproval,77.111682383,2019
10th Grade,One or Two a Day,Alcohol,2014,Disapproval,77.902355594,2019
10th Grade,One or Two a Day,Alcohol,2015,Disapproval,78.156090218,2019
10th Grade,One or Two a Day,Alcohol,2016,Disapproval,78.565486352,2019
10th Grade,One or Two a Day,Alcohol,2017,Disapproval,77.676066534,2019
10th Grade,One or Two a Day,Alcohol,2018,Disapproval,77.906043081,2019
10th Grade,One or Two a Day,Alcohol,2019,Disapproval,79.405056469,2019
10th Grade,One or Two a Day,Alcohol,2021,Disapproval,77.076684924,2019
10th Grade,One or Two a Day,Alcohol,2022,Disapproval,77.40289014,2019
12th Grade,One or Two a Day,Alcohol,1976,Disapproval,68.941202621,2019
12th Grade,One or Two a Day,Alcohol,1977,Disapproval,66.799862238,2019
12th Grade,One or Two a Day,Alcohol,1978,Disapproval,67.664711631,2019
12th Grade,One or Two a Day,Alcohol,1979,Disapproval,68.332306985,2019
12th Grade,One or Two a Day,Alcohol,1980,Disapproval,69.009187483,2019
12th Grade,One or Two a Day,Alcohol,1981,Disapproval,69.059895695,2019
12th Grade,One or Two a Day,Alcohol,1982,Disapproval,69.890605974,2019
12th Grade,One or Two a Day,Alcohol,1983,Disapproval,68.916371028,2019
12th Grade,One or Two a Day,Alcohol,1984,Disapproval,72.868880978,2019
12th Grade,One or Two a Day,Alcohol,1985,Disapproval,70.927144896,2019
12th Grade,One or Two a Day,Alcohol,1986,Disapproval,72.75647773,2019
12th Grade,One or Two a Day,Alcohol,1987,Disapproval,74.227918537,2019
12th Grade,One or Two a Day,Alcohol,1988,Disapproval,75.028857741,2019
12th Grade,One or Two a Day,Alcohol,1989,Disapproval,76.489154739,2019
12th Grade,One or Two a Day,Alcohol,1990,Disapproval,77.890878509,2019
12th Grade,One or Two a Day,Alcohol,1991,Disapproval,76.456155973,2019
12th Grade,One or Two a Day,Alcohol,1992,Disapproval,75.896835336,2019
12th Grade,One or Two a Day,Alcohol,1993,Disapproval,77.817213369,2019
12th Grade,One or Two a Day,Alcohol,1994,Disapproval,73.053443745,2019
12th Grade,One or Two a Day,Alcohol,1995,Disapproval,73.283318766,2019
12th Grade,One or Two a Day,Alcohol,1996,Disapproval,70.779321795,2019
12th Grade,One or Two a Day,Alcohol,1997,Disapproval,70.00998283,2019
12th Grade,One or Two a Day,Alcohol,1998,Disapproval,69.4314542,2019
12th Grade,One or Two a Day,Alcohol,1999,Disapproval,67.191895922,2019
12th Grade,One or Two a Day,Alcohol,2000,Disapproval,70.018547334,2019
12th Grade,One or Two a Day,Alcohol,2001,Disapproval,69.17446059,2019
12th Grade,One or Two a Day,Alcohol,2002,Disapproval,69.144798564,2019
12th Grade,One or Two a Day,Alcohol,2003,Disapproval,68.883896178,2019
12th Grade,One or Two a Day,Alcohol,2004,Disapproval,69.503748664,2019
12th Grade,One or Two a Day,Alcohol,2005,Disapproval,70.806905661,2019
12th Grade,One or Two a Day,Alcohol,2006,Disapproval,72.823855721,2019
12th Grade,One or Two a Day,Alcohol,2007,Disapproval,73.310066406,2019
12th Grade,One or Two a Day,Alcohol,2008,Disapproval,74.549488658,2019
12th Grade,One or Two a Day,Alcohol,2009,Disapproval,70.493809531,2019
12th Grade,One or Two a Day,Alcohol,2010,Disapproval,71.541131693,2019
12th Grade,One or Two a Day,Alcohol,2011,Disapproval,72.75590681,2019
12th Grade,One or Two a Day,Alcohol,2012,Disapproval,70.801184367,2019
12th Grade,One or Two a Day,Alcohol,2013,Disapproval,71.90380138,2019
12th Grade,One or Two a Day,Alcohol,2014,Disapproval,71.692014827,2019
12th Grade,One or Two a Day,Alcohol,2015,Disapproval,71.137148367,2019
12th Grade,One or Two a Day,Alcohol,2016,Disapproval,71.846964639,2019
12th Grade,One or Two a Day,Alcohol,2017,Disapproval,70.750404822,2019
12th Grade,One or Two a Day,Alcohol,2018,Disapproval,74.698670797,2019
12th Grade,One or Two a Day,Alcohol,2019,Disapproval,73.401634776,2019
12th Grade,One or Two a Day,Alcohol,2021,Disapproval,67.363494396,2019
12th Grade,One or Two a Day,Alcohol,2022,Disapproval,71.013493762,2019
12th Grade,Four or Five a Day,Alcohol,1976,Disapproval,90.677375592,2019
12th Grade,Four or Five a Day,Alcohol,1977,Disapproval,88.322483516,2019
12th Grade,Four or Five a Day,Alcohol,1978,Disapproval,90.202017061,2019
12th Grade,Four or Five a Day,Alcohol,1979,Disapproval,91.700970331,2019
12th Grade,Four or Five a Day,Alcohol,1980,Disapproval,90.766995348,2019
12th Grade,Four or Five a Day,Alcohol,1981,Disapproval,91.812403391,2019
12th Grade,Four or Five a Day,Alcohol,1982,Disapproval,90.852577703,2019
12th Grade,Four or Five a Day,Alcohol,1983,Disapproval,90.040879075,2019
12th Grade,Four or Five a Day,Alcohol,1984,Disapproval,91.016811533,2019
12th Grade,Four or Five a Day,Alcohol,1985,Disapproval,91.990845585,2019
12th Grade,Four or Five a Day,Alcohol,1986,Disapproval,91.413337245,2019
12th Grade,Four or Five a Day,Alcohol,1987,Disapproval,92.178660459,2019
12th Grade,Four or Five a Day,Alcohol,1988,Disapproval,92.825248783,2019
12th Grade,Four or Five a Day,Alcohol,1989,Disapproval,91.620512208,2019
12th Grade,Four or Five a Day,Alcohol,1990,Disapproval,91.909233465,2019
12th Grade,Four or Five a Day,Alcohol,1991,Disapproval,90.632329896,2019
12th Grade,Four or Five a Day,Alcohol,1992,Disapproval,90.754355758,2019
12th Grade,Four or Five a Day,Alcohol,1993,Disapproval,90.576720606,2019
12th Grade,Four or Five a Day,Alcohol,1994,Disapproval,89.823344363,2019
12th Grade,Four or Five a Day,Alcohol,1995,Disapproval,88.761483119,2019
12th Grade,Four or Five a Day,Alcohol,1996,Disapproval,89.385218376,2019
12th Grade,Four or Five a Day,Alcohol,1997,Disapproval,88.566779303,2019
12th Grade,Four or Five a Day,Alcohol,1998,Disapproval,86.737899094,2019
12th Grade,Four or Five a Day,Alcohol,1999,Disapproval,86.896340232,2019
12th Grade,Four or Five a Day,Alcohol,2000,Disapproval,88.416292023,2019
12th Grade,Four or Five a Day,Alcohol,2001,Disapproval,86.404784278,2019
12th Grade,Four or Five a Day,Alcohol,2002,Disapproval,87.518870772,2019
12th Grade,Four or Five a Day,Alcohol,2003,Disapproval,86.266073845,2019
12th Grade,Four or Five a Day,Alcohol,2004,Disapproval,87.807148827,2019
12th Grade,Four or Five a Day,Alcohol,2005,Disapproval,89.409841864,2019
12th Grade,Four or Five a Day,Alcohol,2006,Disapproval,90.622178229,2019
12th Grade,Four or Five a Day,Alcohol,2007,Disapproval,90.508832997,2019
12th Grade,Four or Five a Day,Alcohol,2008,Disapproval,89.82464741,2019
12th Grade,Four or Five a Day,Alcohol,2009,Disapproval,89.694767713,2019
12th Grade,Four or Five a Day,Alcohol,2010,Disapproval,88.830519107,2019
12th Grade,Four or Five a Day,Alcohol,2011,Disapproval,90.773359797,2019
12th Grade,Four or Five a Day,Alcohol,2012,Disapproval,90.080330705,2019
12th Grade,Four or Five a Day,Alcohol,2013,Disapproval,90.557271566,2019
12th Grade,Four or Five a Day,Alcohol,2014,Disapproval,91.934647923,2019
12th Grade,Four or Five a Day,Alcohol,2015,Disapproval,89.725378411,2019
12th Grade,Four or Five a Day,Alcohol,2016,Disapproval,91.063027391,2019
12th Grade,Four or Five a Day,Alcohol,2017,Disapproval,90.729016394,2019
12th Grade,Four or Five a Day,Alcohol,2018,Disapproval,91.717858599,2019
12th Grade,Four or Five a Day,Alcohol,2019,Disapproval,91.528916541,2019
12th Grade,Four or Five a Day,Alcohol,2021,Disapproval,91.80022685,2019
12th Grade,Four or Five a Day,Alcohol,2022,Disapproval,92.161403118,2019
8th Grade,Binge,Alcohol,1991,Disapproval,85.121711805,2019
8th Grade,Binge,Alcohol,1992,Disapproval,83.867251721,2019
8th Grade,Binge,Alcohol,1993,Disapproval,83.329746252,2019
8th Grade,Binge,Alcohol,1994,Disapproval,80.698683813,2019
8th Grade,Binge,Alcohol,1995,Disapproval,80.700656383,2019
8th Grade,Binge,Alcohol,1996,Disapproval,79.077532149,2019
8th Grade,Binge,Alcohol,1997,Disapproval,81.316259829,2019
8th Grade,Binge,Alcohol,1998,Disapproval,81.022356899,2019
8th Grade,Binge,Alcohol,1999,Disapproval,80.348538558,2019
8th Grade,Binge,Alcohol,2000,Disapproval,81.23490967,2019
8th Grade,Binge,Alcohol,2001,Disapproval,81.561881203,2019
8th Grade,Binge,Alcohol,2002,Disapproval,81.850103866,2019
8th Grade,Binge,Alcohol,2003,Disapproval,81.905802518,2019
8th Grade,Binge,Alcohol,2004,Disapproval,82.27151994,2019
8th Grade,Binge,Alcohol,2005,Disapproval,82.862611808,2019
8th Grade,Binge,Alcohol,2006,Disapproval,82.010585858,2019
8th Grade,Binge,Alcohol,2007,Disapproval,83.778421615,2019
8th Grade,Binge,Alcohol,2008,Disapproval,83.230768014,2019
8th Grade,Binge,Alcohol,2009,Disapproval,83.22867814,2019
8th Grade,Binge,Alcohol,2010,Disapproval,83.597122782,2019
8th Grade,Binge,Alcohol,2011,Disapproval,84.750517324,2019
8th Grade,Binge,Alcohol,2012,Disapproval,86.04308697,2019
8th Grade,Binge,Alcohol,2013,Disapproval,84.980965681,2019
8th Grade,Binge,Alcohol,2014,Disapproval,84.900054987,2019
8th Grade,Binge,Alcohol,2015,Disapproval,85.420666099,2019
8th Grade,Binge,Alcohol,2016,Disapproval,84.873064922,2019
8th Grade,Binge,Alcohol,2017,Disapproval,84.694241346,2019
8th Grade,Binge,Alcohol,2018,Disapproval,83.712318369,2019
8th Grade,Binge,Alcohol,2019,Disapproval,84.57319319,2019
8th Grade,Binge,Alcohol,2021,Disapproval,81.103062376,2019
8th Grade,Binge,Alcohol,2022,Disapproval,81.301330399,2019
10th Grade,Binge,Alcohol,1991,Disapproval,76.713769179,2019
10th Grade,Binge,Alcohol,1992,Disapproval,77.59095615,2019
10th Grade,Binge,Alcohol,1993,Disapproval,74.686778703,2019
10th Grade,Binge,Alcohol,1994,Disapproval,72.346854984,2019
10th Grade,Binge,Alcohol,1995,Disapproval,72.249745144,2019
10th Grade,Binge,Alcohol,1996,Disapproval,70.653757365,2019
10th Grade,Binge,Alcohol,1997,Disapproval,70.172042837,2019
10th Grade,Binge,Alcohol,1998,Disapproval,70.506346141,2019
10th Grade,Binge,Alcohol,1999,Disapproval,69.895825393,2019
10th Grade,Binge,Alcohol,2000,Disapproval,68.185143431,2019
10th Grade,Binge,Alcohol,2001,Disapproval,69.173176257,2019
10th Grade,Binge,Alcohol,2002,Disapproval,71.516080204,2019
10th Grade,Binge,Alcohol,2003,Disapproval,71.637655722,2019
10th Grade,Binge,Alcohol,2004,Disapproval,71.754983728,2019
10th Grade,Binge,Alcohol,2005,Disapproval,73.649792214,2019
10th Grade,Binge,Alcohol,2006,Disapproval,72.871608635,2019
10th Grade,Binge,Alcohol,2007,Disapproval,74.066866894,2019
10th Grade,Binge,Alcohol,2008,Disapproval,77.210008508,2019
10th Grade,Binge,Alcohol,2009,Disapproval,75.084985794,2019
10th Grade,Binge,Alcohol,2010,Disapproval,75.879075207,2019
10th Grade,Binge,Alcohol,2011,Disapproval,77.251986579,2019
10th Grade,Binge,Alcohol,2012,Disapproval,77.465776717,2019
10th Grade,Binge,Alcohol,2013,Disapproval,77.815543837,2019
10th Grade,Binge,Alcohol,2014,Disapproval,79.518394759,2019
10th Grade,Binge,Alcohol,2015,Disapproval,79.601961895,2019
10th Grade,Binge,Alcohol,2016,Disapproval,80.845819453,2019
10th Grade,Binge,Alcohol,2017,Disapproval,80.105310157,2019
10th Grade,Binge,Alcohol,2018,Disapproval,80.408568509,2019
10th Grade,Binge,Alcohol,2019,Disapproval,82.380472315,2019
10th Grade,Binge,Alcohol,2021,Disapproval,78.434834365,2019
10th Grade,Binge,Alcohol,2022,Disapproval,78.435936049,2019
12th Grade,Binge,Alcohol,1976,Disapproval,58.53364882,2019
12th Grade,Binge,Alcohol,1977,Disapproval,57.493255721,2019
12th Grade,Binge,Alcohol,1978,Disapproval,56.242936134,2019
12th Grade,Binge,Alcohol,1979,Disapproval,56.666152921,2019
12th Grade,Binge,Alcohol,1980,Disapproval,55.628481384,2019
12th Grade,Binge,Alcohol,1981,Disapproval,55.535739913,2019
12th Grade,Binge,Alcohol,1982,Disapproval,58.777786094,2019
12th Grade,Binge,Alcohol,1983,Disapproval,56.597985027,2019
12th Grade,Binge,Alcohol,1984,Disapproval,59.635135687,2019
12th Grade,Binge,Alcohol,1985,Disapproval,60.415764706,2019
12th Grade,Binge,Alcohol,1986,Disapproval,62.425993324,2019
12th Grade,Binge,Alcohol,1987,Disapproval,62.030019957,2019
12th Grade,Binge,Alcohol,1988,Disapproval,65.334323012,2019
12th Grade,Binge,Alcohol,1989,Disapproval,66.53661491,2019
12th Grade,Binge,Alcohol,1990,Disapproval,68.883214824,2019
12th Grade,Binge,Alcohol,1991,Disapproval,67.406142483,2019
12th Grade,Binge,Alcohol,1992,Disapproval,70.737594703,2019
12th Grade,Binge,Alcohol,1993,Disapproval,70.052117295,2019
12th Grade,Binge,Alcohol,1994,Disapproval,65.083022197,2019
12th Grade,Binge,Alcohol,1995,Disapproval,66.688414658,2019
12th Grade,Binge,Alcohol,1996,Disapproval,64.717604257,2019
12th Grade,Binge,Alcohol,1997,Disapproval,64.974101345,2019
12th Grade,Binge,Alcohol,1998,Disapproval,63.811259581,2019
12th Grade,Binge,Alcohol,1999,Disapproval,62.710068797,2019
12th Grade,Binge,Alcohol,2000,Disapproval,65.192519088,2019
12th Grade,Binge,Alcohol,2001,Disapproval,62.902701139,2019
12th Grade,Binge,Alcohol,2002,Disapproval,64.71149036,2019
12th Grade,Binge,Alcohol,2003,Disapproval,64.19825382,2019
12th Grade,Binge,Alcohol,2004,Disapproval,65.730150354,2019
12th Grade,Binge,Alcohol,2005,Disapproval,66.526130197,2019
12th Grade,Binge,Alcohol,2006,Disapproval,68.507917342,2019
12th Grade,Binge,Alcohol,2007,Disapproval,68.760921007,2019
12th Grade,Binge,Alcohol,2008,Disapproval,68.917517821,2019
12th Grade,Binge,Alcohol,2009,Disapproval,67.575950752,2019
12th Grade,Binge,Alcohol,2010,Disapproval,68.812042492,2019
12th Grade,Binge,Alcohol,2011,Disapproval,69.97044631,2019
12th Grade,Binge,Alcohol,2012,Disapproval,70.121300691,2019
12th Grade,Binge,Alcohol,2013,Disapproval,71.649636201,2019
12th Grade,Binge,Alcohol,2014,Disapproval,72.642544256,2019
12th Grade,Binge,Alcohol,2015,Disapproval,71.937721355,2019
12th Grade,Binge,Alcohol,2016,Disapproval,74.198276135,2019
12th Grade,Binge,Alcohol,2017,Disapproval,72.500523646,2019
12th Grade,Binge,Alcohol,2018,Disapproval,75.813824796,2019
12th Grade,Binge,Alcohol,2019,Disapproval,74.984457223,2019
12th Grade,Binge,Alcohol,2021,Disapproval,57.81935479,2019
12th Grade,Binge,Alcohol,2022,Disapproval,66.878324494,2019
12th Grade,Once or Twice,Amphetamines,1976,Disapproval,33.374024842,2019
12th Grade,Once or Twice,Amphetamines,1977,Disapproval,30.786870361,2019
12th Grade,Once or Twice,Amphetamines,1978,Disapproval,29.921797228,2019
12th Grade,Once or Twice,Amphetamines,1979,Disapproval,29.670349792,2019
12th Grade,Once or Twice,Amphetamines,1980,Disapproval,29.667317076,2019
12th Grade,Once or Twice,Amphetamines,1981,Disapproval,26.411243141,2019
12th Grade,Once or Twice,Amphetamines,1982,Disapproval,25.283875973,2019
12th Grade,Once or Twice,Amphetamines,1983,Disapproval,24.709863261,2019
12th Grade,Once or Twice,Amphetamines,1984,Disapproval,25.424478113,2019
12th Grade,Once or Twice,Amphetamines,1985,Disapproval,25.182876186,2019
